yali1_id,ncbigene,ec,all_kegg_pathways,metabolic_pathways,in_true_metabolic_pathway,in_model,is_expansion_candidate,description
YALI1_A02775g,2906446,2.7.7.9,Pentose and glucuronate interconversions;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of nucleotide sugars,Pentose and glucuronate interconversions;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of nucleotide sugars,True,True,False,"highly similar to uniprot|P32861 Saccharomyces cerevisiae YKL035w UGP1 UTP--glucose-1-phosphate uridylyltransferase,similar to Saccharomyces"
YALI1_A03069g,2906386,2.5.1.15;2.7.6.3;4.1.2.25,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,True,True,False,"similar to Saccharomyces cerevisiae FOL1 (YNL256W)%3B ancestral locus Anc_1.104,  similar to uniprot|P53848 Saccharomyces cerevisiae YNL256w"
YALI1_A03322g,2906354,7.1.1.8,Oxidative phosphorylation;Metabolic pathways;Efferocytosis,Oxidative phosphorylation;Metabolic pathways,True,True,False,"similar to uniprot|P08067 Saccharomyces cerevisiae YEL024w RIP1 ubiquinol--cytochrome-c reductase iron-sulfur protein precursor singleton,si"
YALI1_A05116g,2906140,1.3.1.93,Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,Fatty acid elongation;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,True,True,False,"similar to Saccharomyces cerevisiae TSC13 (YDL015C)%3B ancestral locus Anc_3.184,  similar to uniprot|O94511 Schizosaccharomyces pombe 3- ox"
YALI1_A08781g,2906060,1.14.15.45;1.14.15.46,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,True,False,"similar to Saccharomyces cerevisiae COQ6 (YGR255C)%3B ancestral locus Anc_1.103,  uniprot|Q6H9P2 Yarrowia lipolytica Putative ubiquitin mono"
YALI1_A09121g,2905780,6.1.1.3,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,True,True,False,"similar to Saccharomyces cerevisiae MST1 (YKL194C)%3B ancestral locus Anc_4.299,  uniprot|Q6H9P8 Yarrowia lipolytica Mitochondrial threonyl "
YALI1_A09766g,2905763,7.1.2.2,Oxidative phosphorylation;Metabolic pathways;Lysosome biogenesis;Phagocytosis,Oxidative phosphorylation;Metabolic pathways,True,True,False,"highly similar to uniprot|Q9UVJ8 Ashbya gossypii Vacuolar ATP synthase catalytic subunit A (V-ATPase 69 kDa subunit),similar to Saccharomyce"
YALI1_A09911g,2905762,6.3.2.12,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,True,True,False,"similar to uniprot|Q12676 Saccharomyces cerevisiae YMR113w FOL3 dihydrofolate synthetase,similar to Saccharomyces cerevisiae RMA1 (YKL132C) "
YALI1_A09939g,2906604,2.5.1.21,Steroid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,Steroid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae ERG9 (YHR190W)%3B ancestral locus Anc_8.857,  uniprot|Q9Y753 Yarrowia lipolytica Squalene synthase"
YALI1_A10254g,2906347,3.5.4.16,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,True,True,False,"similar to uniprot|P51601 Saccharomyces cerevisiae YGR267c FOL2 GTP cyclohydrolase I,similar to Saccharomyces cerevisiae FOL2 (YGR267C)%3B a"
YALI1_A12284g,2906195,2.5.1.78,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,True,False,"similar to uniprot|P50861 Saccharomyces cerevisiae YOL143c RIB4 6 7-dimethyl -8-ribityllumazine synthase,similar to Saccharomyces cerevisiae"
YALI1_A13454g,2906288,6.3.5.4,"Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids","Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",True,True,False,"similar to Saccharomyces cerevisiae ASN2 (YGR124W) and ASN1 (YPR145W)%3B ancestral locus Anc_3.483,  highly similar to uniprot|P49090 Saccha"
YALI1_A15879g,2905745,1.1.1.23;3.5.4.19;3.6.1.31,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,True,True,False,"similar to Saccharomyces cerevisiae HIS4 (YCL030C)%3B ancestral locus Anc_1.45,  similar to uniprot|P00815 Saccharomyces cerevisiae YCL030c "
YALI1_A20176g,2906058,2.7.2.11,Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,True,True,False,"similar to Saccharomyces cerevisiae PRO1 (YDR300C) and YHR033W%3B ancestral locus Anc_5.318,  similar to uniprot|P32264 Saccharomyces cerevi"
YALI1_A21156g,2906552,6.3.5.1,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,True,True,False,"similar to Saccharomyces cerevisiae QNS1 (YHR074W)%3B ancestral locus Anc_5.357,  highly similar to uniprot|P38795 Saccharomyces cerevisiae "
YALI1_B01136g,2907367,2.7.4.3,Purine metabolism;Thiamine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors,Purine metabolism;Thiamine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,True,False,"highly similar to uniprot|P07170 Saccharomyces cerevisiae YDR226W Adenylate kinase cytosolic (EC 2.7.4.3) (ATP-AMP transphosphorylase),simil"
YALI1_B02345g,2907408,4.2.1.33,"Valine, leucine and isoleucine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids","Valine, leucine and isoleucine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",True,True,False,"uniprot|Q9P3Y5 Yarrowia lipolytica 3- isopropylmalate dehydratase,similar to Saccharomyces cerevisiae LEU1 (YGL009C)%3B ancestral locus Anc_"
YALI1_B02806g,2907158,2.7.1.26,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,True,False,"similar to Saccharomyces cerevisiae FMN1 (YDR236C)%3B ancestral locus Anc_8.459,  weakly similar to uniprot|Q03778 Saccharomyces cerevisiae "
YALI1_B03719g,2907523,2.7.1.67,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,Inositol phosphate metabolism;Metabolic pathways,True,True,False,"similar to Saccharomyces cerevisiae PIK1 (YNL267W)%3B ancestral locus Anc_1.85,  similar to uniprot|P39104 Saccharomyces cerevisiae YNL267w "
YALI1_B04138g,2907141,5.4.2.11,"Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids","Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",True,True,False,"similar to Saccharomyces cerevisiae GPM1 (YKL152C)%3B ancestral locus Anc_5.257,  highly similar to uniprot|P00950 Saccharomyces cerevisiae "
YALI1_B04433g,2906777,1.1.1.8,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;MAPK signaling pathway - yeast;Peroxisome - yeast,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae GPD1 (YDL022W) and GPD2 (YOL059W)%3B ancestral locus Anc_3.169,  uniprot|Q9UVF4 Yarrowia lipolytica Glyc"
YALI1_B05072g,2906611,1.17.4.1,Purine metabolism;Pyrimidine metabolism;Glutathione metabolism;Metabolic pathways;Nucleotide metabolism,Purine metabolism;Pyrimidine metabolism;Glutathione metabolism;Metabolic pathways,True,True,False,highly similar to uniprot|Q9HEW8 Emericella nidulans Ribonucleotide reductase
YALI1_B05364g,2907185,7.1.2.2,Oxidative phosphorylation;Metabolic pathways,Oxidative phosphorylation;Metabolic pathways,True,True,False,"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP synthase beta chain mitochondrial precursor (EC 3.6.3.14),similar to S"
YALI1_B05571g,2907184,6.1.1.7,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,True,True,False,"similar to Saccharomyces cerevisiae ALA1 (YOR335C)%3B ancestral locus Anc_7.58,  similar to uniprot|P40825 Saccharomyces cerevisiae YOR335C "
YALI1_B05798g,2906699,5.5.1.4,Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae INO1 (YJL153C)%3B ancestral locus Anc_1.195,  similar to uniprot|O74247 Pichia pastoris and to uniprot|P"
YALI1_B07094g,2906856,1.14.14.154;1.14.15.36,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae ERG11 (YHR007C)%3B ancestral locus Anc_5.588,  similar to uniprot|P10614 Saccharomyces cerevisiae YHR007"
YALI1_B07366g,2907099,6.3.4.2,Pyrimidine metabolism;Metabolic pathways;Nucleotide metabolism;Biosynthesis of cofactors,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,True,True,False,"similar to Saccharomyces cerevisiae URA7 (YBL039C) and URA8 (YJR103W)%3B ancestral locus Anc_7.476,  highly similar to uniprot|P28274 Saccha"
YALI1_B07957g,2907208,6.1.1.11,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,True,True,False,"similar to Saccharomyces cerevisiae DIA4 (YHR011W)%3B ancestral locus Anc_5.598,  similar to uniprot|P38705 Saccharomyces cerevisiae Putativ"
YALI1_B09025g,2906709,5.3.1.6,Pentose phosphate pathway;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,Pentose phosphate pathway;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,True,True,False,"similar to uniprot|Q12189 Saccharomyces cerevisiae YOR095c RKI1 D-ribose-5-phosphate ketol-isomerase,similar to Saccharomyces cerevisiae RKI"
YALI1_B09592g,2907169,2.3.3.13,"Valine, leucine and isoleucine biosynthesis;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids","Valine, leucine and isoleucine biosynthesis;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",True,True,False,similar to uniprot|P06208 Saccharomyces cerevisiae YNL104C 2-isopropylmalate synthase (EC 4.1.3.12) (Alpha- isopropylmalate synthase) (Alpha
YALI1_B11532g,2907383,2.3.1.9,"Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism","Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism",True,True,False,similar to uniprot|Q04677 Candida tropicalis Acetyl- CoA acetyltransferase IB (EC 2.3.1.9) Peroxisomal acetoacetyl- CoA thiolase Thiolase IB
YALI1_B12042g,2906813,4.1.99.12,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,True,False,"similar to uniprot|Q99258 Saccharomyces cerevisiae YDR487c RIB3 3 4-dihydroxy-2-butanone 4-phosphate synthase,similar to Saccharomyces cerev"
YALI1_B14978g,2907142,2.7.1.140;2.7.1.151,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system;Autophagy - yeast,Inositol phosphate metabolism;Metabolic pathways,True,True,False,"similar to Saccharomyces cerevisiae ARG82 (YDR173C)%3B ancestral locus Anc_8.371,  weakly similar to uniprot|P07250 Saccharomyces cerevisiae"
YALI1_B15015g,2907614,4.1.1.17,Arginine and proline metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Efferocytosis,Arginine and proline metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae SPE1 (YKL184W)%3B ancestral locus Anc_4.282,  uniprot|Q8WZM1 Yarrowia lipolytica Ornithine decarboxylase"
YALI1_B15180g,2907489,2.4.1.141,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,True,True,False,"weakly similar to uniprot|P38242 Saccharomyces cerevisiae YBR070c SAT2 osmotolerance protein,similar to Saccharomyces cerevisiae ALG14 (YBR0"
YALI1_B17927g,2907416,2.7.4.24,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,Inositol phosphate metabolism;Metabolic pathways,True,True,False,"similar to Saccharomyces cerevisiae VIP1 (YLR410W)%3B ancestral locus Anc_4.276,  similar to uniprot|Q06685 Saccharomyces cerevisiae YLR410w"
YALI1_B18955g,2906840,1.5.1.2,Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,True,True,False,"similar to uniprot|Q12740 Zalerion arboricola Pyrroline- 5-carboxylate reductase PRO3 (P5C reductase),similar to Saccharomyces cerevisiae PR"
YALI1_B19079g,2907639,2.5.1.6,Cysteine and methionine metabolism;One carbon pool by folate;Biosynthesis of various plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors,Cysteine and methionine metabolism;One carbon pool by folate;Biosynthesis of various plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors,True,True,False,"highly similar to uniprot|Q9P842 Candida albicans S- adenosylmethionine synthetase 2 (CaSAM2),similar to Saccharomyces cerevisiae SAM2 (YDR5"
YALI1_B19844g,2907339,2.3.1.86,Fatty acid biosynthesis;Metabolic pathways;Fatty acid metabolism,Fatty acid biosynthesis;Metabolic pathways;Fatty acid metabolism,True,True,False,"uniprot|P34229 Yarrowia lipolytica Fatty acid synthase subunit beta (EC 2.3.1.86),similar to Saccharomyces cerevisiae FAS1 (YKL182W)%3B ance"
YALI1_B20153g,2907322,2.4.2.14,"Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites","Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites",True,True,False,"similar to Saccharomyces cerevisiae ADE4 (YMR300C)%3B ancestral locus Anc_5.21,  similar to uniprot|P04046 Saccharomyces cerevisiae YMR300c "
YALI1_B20289g,2907616,1.5.1.7,Lysine biosynthesis;Lysine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,Lysine biosynthesis;Lysine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,True,True,False,"similar to Saccharomyces cerevisiae LYS1 (YIR034C)%3B ancestral locus Anc_2.664,  uniprot|P38997 Yarrowia lipolytica Saccharopine dehydrogen"
YALI1_B20462g,2906913,1.1.1.343;1.1.1.44,Pentose phosphate pathway;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,Pentose phosphate pathway;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,True,True,False,"similar to Saccharomyces cerevisiae GND2 (YGR256W) and GND1 (YHR183W)%3B ancestral locus Anc_5.55,  highly similar to uniprot|P38720 Sacchar"
YALI1_B21004g,2906793,2.7.1.36,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Peroxisome,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to uniprot|P07277 Saccharomyces cerevisiae YMR208w ERG12 mevalonate kinase singleton,similar to Saccharomyces cerevisiae ERG12 (YMR2"
YALI1_B21070g,2906785,6.3.5.2,Purine metabolism;Metabolic pathways;Nucleotide metabolism,Purine metabolism;Metabolic pathways,True,True,False,"similar to Saccharomyces cerevisiae GUA1 (YMR217W)%3B ancestral locus Anc_8.733,  highly similar to uniprot|P38625 Saccharomyces cerevisiae "
YALI1_B21088g,2906630,2.5.1.58;2.5.1.59,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae RAM2 (YKL019W)%3B ancestral locus Anc_2.661,  similar to uniprot|P29703 Saccharomyces cerevisiae YKL019w"
YALI1_B21313g,2907503,2.4.1.16,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,True,True,False,similar to uniprot|Q8NJ48 ericoid mycorrhizal Putative chitin synthase
YALI1_B21356g,2907516,2.3.1.1,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,True,True,False,"similar to Saccharomyces cerevisiae ARG2 (YJL071W)%3B ancestral locus Anc_1.301,  weakly similar to uniprot|P40360 Saccharomyces cerevisiae "
YALI1_B21618g,2907364,2.7.8.15,N-Glycan biosynthesis;Metabolic pathways,N-Glycan biosynthesis;Metabolic pathways,True,True,False,"similar to uniprot|P07286 Saccharomyces cerevisiae YBR243c ALG7 UDP-N-acetylglucosamine-1-phosphate transferase,similar to Saccharomyces cer"
YALI1_B22614g,2907498,4.3.2.2,"Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors","Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",True,True,False,"similar to Saccharomyces cerevisiae ADE13 (YLR359W)%3B ancestral locus Anc_4.197,  highly similar to uniprot|Q05911 Saccharomyces cerevisiae"
YALI1_B22820g,2907211,1.1.1.270,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,True,True,False,"similar to Saccharomyces cerevisiae ERG27 (YLR100W)%3B ancestral locus Anc_8.289,  similar to uniprot|Q12452 Saccharomyces cerevisiae ORF YL"
YALI1_B22853g,2907212,1.2.1.38;2.7.2.8,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,True,True,False,"similar to uniprot|Q01217 Saccharomyces cerevisiae YER069w ARG5_6 acetylglutamate kinase and acetylglutamyl- phosphate reductase,similar to "
YALI1_B22883g,2907213,1.1.1.102,Sphingolipid metabolism;Metabolic pathways;Cornified envelope formation,Sphingolipid metabolism;Metabolic pathways,True,True,False,"similar to Saccharomyces cerevisiae TSC10 (YBR265W)%3B ancestral locus Anc_1.315,  weakly similar to uniprot|Q9Y7P2 Schizosaccharomyces pomb"
YALI1_B23834g,2907547,5.3.1.8,Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of nucleotide sugars,Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of nucleotide sugars,True,True,False,"similar to Saccharomyces cerevisiae PMI40 (YER003C)%3B ancestral locus Anc_7.147,  similar to uniprot|P29952 Saccharomyces cerevisiae YER003"
YALI1_B25427g,2907422,2.3.1.86,Fatty acid biosynthesis;Metabolic pathways;Fatty acid metabolism,Fatty acid biosynthesis;Metabolic pathways;Fatty acid metabolism,True,True,False,similar to uniprot|P43098 Candida albicans Fatty acid synthase subunit alpha (EC 2.3.1.86)
YALI1_B26350g,2907046,2.3.1.199,Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,Fatty acid elongation;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,True,True,False,"similar to uniprot|P25358 Saccharomyces cerevisiae YCR034w GNS1 fatty acid elongase required for sphingolipid formation,similar to Saccharom"
YALI1_B26679g,2907626,7.1.1.2,Oxidative phosphorylation;Metabolic pathways,Oxidative phosphorylation;Metabolic pathways,True,True,False,uniprot|Q9UVT9 Yarrowia lipolytica NADH:ubiquinone oxidoreductase 51 kDa subunit nucleotide-binding subunit of NADH:ubiquinone oxidoreductas
YALI1_B26749g,2906633,3.1.3.3,"Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids","Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",True,True,False,"similar to Saccharomyces cerevisiae SER2 (YGR208W)%3B ancestral locus Anc_5.125,  similar to uniprot|P42941 Saccharomyces cerevisiae YGR208W"
