# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	13266	13647	-	XM_068281595.1		XP_068137696.1	uncharacterized protein		94582251	YALI1_A00135g	336	336	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	13266	13647	-	XP_068137696.1		XM_068281595.1	uncharacterized protein		94582251	YALI1_A00135g	336	111	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	14825	15919	+						2906274	YALI1_A00148g	1095		partial;old_locus_tag=YALI2_A00004g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	14825	15919	+	XM_499605.3		XP_499605.1	uncharacterized protein		2906274	YALI1_A00148g	1095	1095	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	14825	15919	+	XP_499605.1		XM_499605.3	uncharacterized protein		2906274	YALI1_A00148g	1095	364	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	20422	20919	+						94582252	YALI1_A00204g	498		partial;old_locus_tag=YALI2_A00005g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	20422	20919	+	XM_068281596.1		XP_068137697.1	uncharacterized protein		94582252	YALI1_A00204g	498	498	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	20422	20919	+	XP_068137697.1		XM_068281596.1	uncharacterized protein		94582252	YALI1_A00204g	498	165	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	23406	24176	-						2906334	YALI1_A00241g	771		partial;old_locus_tag=YALI2_A00692g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	23406	24176	-	XM_499607.3		XP_499607.3	uncharacterized protein		2906334	YALI1_A00241g	771	771	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	23406	24176	-	XP_499607.3		XM_499607.3	uncharacterized protein		2906334	YALI1_A00241g	771	256	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	25268	26506	+						2905847	YALI1_A00252g	1239		partial;old_locus_tag=YALI2_A00006g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	25268	26506	+	XM_499608.2		XP_499608.2	uncharacterized protein		2905847	YALI1_A00252g	1239	1239	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	25268	26506	+	XP_499608.2		XM_499608.2	uncharacterized protein		2905847	YALI1_A00252g	1239	412	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	27114	27198	-						2906275	YALI1_A00271r	85		old_locus_tag=YALI2_A00001t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	27114	27198	-				tRNA-Arg		2906275	YALI1_A00271r	85		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	27706	30948	-						2905904	YALI1_A00309g	3243		partial;old_locus_tag=YALI2_A00691g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	27706	30948	-	XM_499609.3		XP_499609.1	uncharacterized protein		2905904	YALI1_A00309g	3243	3243	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	27706	30948	-	XP_499609.1		XM_499609.3	uncharacterized protein		2905904	YALI1_A00309g	3243	1080	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	32599	33705	+						2905939	YALI1_A00325g	1107		partial;old_locus_tag=YALI2_A00007g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	32599	33705	+	XM_499610.2		XP_499610.1	uncharacterized protein		2905939	YALI1_A00325g	1107	1107	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	32599	33705	+	XP_499610.1		XM_499610.2	uncharacterized protein		2905939	YALI1_A00325g	1107	368	
gene	pseudogene	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	34587	34841	-				Compare to YALI0A00297g, Misc non-coding, weakly similar to uniprot|Q6CGY4 Yarrowia lipolytica YALI0A14927g		94582253	YALI1_A00348g	255		pseudo
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	36917	37567	-						2906599	YALI1_A00375g	651		partial;old_locus_tag=YALI2_A00690g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	36917	37567	-	XM_499611.3		XP_499611.2	uncharacterized protein		2906599	YALI1_A00375g	651	651	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	36917	37567	-	XP_499611.2		XM_499611.3	uncharacterized protein		2906599	YALI1_A00375g	651	216	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	40669	43582	+						2905756	YALI1_A00406g	2914		partial;old_locus_tag=YALI2_A00008g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	40669	43582	+	XM_499612.2		XP_499612.1	uncharacterized protein		2905756	YALI1_A00406g	2529	2529	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	40669	43582	+	XP_499612.1		XM_499612.2	uncharacterized protein		2905756	YALI1_A00406g	2529	842	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	43969	44763	-						2906297	YALI1_A00447g	795		partial;old_locus_tag=YALI2_A00689g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	43969	44763	-	XM_499613.2		XP_499613.2	uncharacterized protein		2906297	YALI1_A00447g	795	795	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	43969	44763	-	XP_499613.2		XM_499613.2	uncharacterized protein		2906297	YALI1_A00447g	795	264	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	46273	46803	-						2905998	YALI1_A00468g	531		partial;old_locus_tag=YALI2_A00688g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	46273	46803	-	XM_499614.3		XP_499614.3	uncharacterized protein		2905998	YALI1_A00468g	531	531	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	46273	46803	-	XP_499614.3		XM_499614.3	uncharacterized protein		2905998	YALI1_A00468g	531	176	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	48978	50495	-						2905829	YALI1_A00504g	1518		partial;old_locus_tag=YALI2_A00687g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	48978	50495	-	XM_499615.3		XP_499615.3	uncharacterized protein		2905829	YALI1_A00504g	1518	1518	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	48978	50495	-	XP_499615.3		XM_499615.3	uncharacterized protein		2905829	YALI1_A00504g	1518	505	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	52279	53898	-						2906299	YALI1_A00538g	1620		partial;old_locus_tag=YALI2_A00686g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	52279	53898	-	XM_499616.2		XP_499616.2	uncharacterized protein		2906299	YALI1_A00538g	1620	1620	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	52279	53898	-	XP_499616.2		XM_499616.2	uncharacterized protein		2906299	YALI1_A00538g	1620	539	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	55885	56409	+						2905836	YALI1_A00558g	525		partial;old_locus_tag=YALI2_A00009g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	55885	56409	+	XM_499617.3		XP_499617.1	uncharacterized protein		2905836	YALI1_A00558g	525	525	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	55885	56409	+	XP_499617.1		XM_499617.3	uncharacterized protein		2905836	YALI1_A00558g	525	174	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	57083	57511	-						94582254	YALI1_A00574g	429		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	57083	57511	-	XM_068281597.1		XP_068137698.1	uncharacterized protein		94582254	YALI1_A00574g	384	384	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	57083	57511	-	XP_068137698.1		XM_068281597.1	uncharacterized protein		94582254	YALI1_A00574g	384	127	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	57938	58018	+						2906349	YALI1_A00579r	81		old_locus_tag=YALI2_A00002t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	57938	58018	+				tRNA-Pro		2906349	YALI1_A00579r	81		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	60125	62950	+						2905928	YALI1_A00601g	2826		partial;old_locus_tag=YALI2_A00010g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	60125	62950	+	XM_499618.3		XP_499618.1	uncharacterized protein		2905928	YALI1_A00601g	2826	2826	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	60125	62950	+	XP_499618.1		XM_499618.3	uncharacterized protein		2905928	YALI1_A00601g	2826	941	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	64561	66150	-						2905963	YALI1_A00661g	1590		partial;old_locus_tag=YALI2_A00685g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	64561	66150	-	XM_499619.3		XP_499619.3	uncharacterized protein		2905963	YALI1_A00661g	1590	1590	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	64561	66150	-	XP_499619.3		XM_499619.3	uncharacterized protein		2905963	YALI1_A00661g	1590	529	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	68398	69993	+						2906441	YALI1_A00683g	1596		partial;old_locus_tag=YALI2_A00011g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	68398	69993	+	XM_499620.3		XP_499620.3	uncharacterized protein		2906441	YALI1_A00683g	1596	1596	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	68398	69993	+	XP_499620.3		XM_499620.3	uncharacterized protein		2906441	YALI1_A00683g	1596	531	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	70106	71509	-						2906241	YALI1_A00715g	1404		partial;old_locus_tag=YALI2_A00684g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	70106	71509	-	XM_499621.3		XP_499621.3	uncharacterized protein		2906241	YALI1_A00715g	1404	1404	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	70106	71509	-	XP_499621.3		XM_499621.3	uncharacterized protein		2906241	YALI1_A00715g	1404	467	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	73384	74673	-						2906083	YALI1_A00746g	1290		partial;old_locus_tag=YALI2_A00683g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	73384	74673	-	XM_499622.3		XP_499622.1	uncharacterized protein		2906083	YALI1_A00746g	1290	1290	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	73384	74673	-	XP_499622.1		XM_499622.3	uncharacterized protein		2906083	YALI1_A00746g	1290	429	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	75387	79215	-						2906235	YALI1_A00789g	3829		partial;old_locus_tag=YALI2_A00682g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	75387	79215	-	XM_499623.3		XP_499623.3	uncharacterized protein		2906235	YALI1_A00789g	3570	3570	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	75387	79215	-	XP_499623.3		XM_499623.3	uncharacterized protein		2906235	YALI1_A00789g	3570	1189	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	80159	80830	+						2905995	YALI1_A00801g	672		partial;old_locus_tag=YALI2_A00012g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	80159	80830	+	XM_499624.2		XP_499624.1	uncharacterized protein		2905995	YALI1_A00801g	672	672	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	80159	80830	+	XP_499624.1		XM_499624.2	uncharacterized protein		2905995	YALI1_A00801g	672	223	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	82319	82999	-						2905993	YALI1_A00829g	681		partial;old_locus_tag=YALI2_A00681g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	82319	82999	-	XM_499625.1		XP_499625.1	uncharacterized protein		2905993	YALI1_A00829g	681	681	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	82319	82999	-	XP_499625.1		XM_499625.1	uncharacterized protein		2905993	YALI1_A00829g	681	226	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	86766	89120	+						2905966	YALI1_A00867g	2355		partial;old_locus_tag=YALI2_A00013g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	86766	89120	+	XM_499626.3		XP_499626.3	uncharacterized protein		2905966	YALI1_A00867g	2355	2355	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	86766	89120	+	XP_499626.3		XM_499626.3	uncharacterized protein		2905966	YALI1_A00867g	2355	784	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90374	90709	-						94582255	YALI1_A00905g	336		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90374	90709	-	XM_068281598.1		XP_068137699.1	uncharacterized protein		94582255	YALI1_A00905g	294	294	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90374	90709	-	XP_068137699.1		XM_068281598.1	uncharacterized protein		94582255	YALI1_A00905g	294	97	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90911	91204	-						94582256	YALI1_A00911g	294		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90911	91204	-	XM_068281599.1		XP_068137700.1	uncharacterized protein		94582256	YALI1_A00911g	252	252	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	90911	91204	-	XP_068137700.1		XM_068281599.1	uncharacterized protein		94582256	YALI1_A00911g	252	83	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	92089	92170	-						2905988	YALI1_A00921r	82		old_locus_tag=YALI2_A00003t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	92089	92170	-				tRNA-Lys		2905988	YALI1_A00921r	82		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	94733	97438	+						2905982	YALI1_A00947g	2706		partial;old_locus_tag=YALI2_A00014g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	94733	97438	+	XM_499627.3		XP_499627.3	uncharacterized protein		2905982	YALI1_A00947g	2706	2706	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	94733	97438	+	XP_499627.3		XM_499627.3	uncharacterized protein		2905982	YALI1_A00947g	2706	901	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	97796	98389	-						2905934	YALI1_A00983g	594		partial;old_locus_tag=YALI2_A00679g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	97796	98389	-	XM_499628.3		XP_499628.1	uncharacterized protein		2905934	YALI1_A00983g	594	594	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	97796	98389	-	XP_499628.1		XM_499628.3	uncharacterized protein		2905934	YALI1_A00983g	594	197	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	103012	106152	-						2905777	YALI1_A01061g	3141		partial;old_locus_tag=YALI2_A00678g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	103012	106152	-	XM_499629.3		XP_499629.1	uncharacterized protein		2905777	YALI1_A01061g	3141	3141	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	103012	106152	-	XP_499629.1		XM_499629.3	uncharacterized protein		2905777	YALI1_A01061g	3141	1046	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	107431	108012	+						90949327	YALI1_A01074g	582		partial;old_locus_tag=YALI2_A00015g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	107431	108012	+	XM_066093996.2		XP_065950068.2	uncharacterized protein		90949327	YALI1_A01074g	507	507	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	107431	108012	+	XP_065950068.2		XM_066093996.2	uncharacterized protein		90949327	YALI1_A01074g	507	168	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	109311	110708	+						2905911	YALI1_A01093g	1398		partial;old_locus_tag=YALI2_A00016g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	109311	110708	+	XM_499630.2		XP_499630.2	uncharacterized protein		2905911	YALI1_A01093g	1398	1398	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	109311	110708	+	XP_499630.2		XM_499630.2	uncharacterized protein		2905911	YALI1_A01093g	1398	465	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	111249	112292	-						2906327	YALI1_A01122g	1044		partial;old_locus_tag=YALI2_A00677g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	111249	112292	-	XM_499631.3		XP_499631.1	uncharacterized protein		2906327	YALI1_A01122g	1044	1044	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	111249	112292	-	XP_499631.1		XM_499631.3	uncharacterized protein		2906327	YALI1_A01122g	1044	347	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	112835	114388	-						2906329	YALI1_A01143g	1554		partial;old_locus_tag=YALI2_A00676g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	112835	114388	-	XM_499632.3		XP_499632.2	uncharacterized protein		2906329	YALI1_A01143g	1554	1554	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	112835	114388	-	XP_499632.2		XM_499632.3	uncharacterized protein		2906329	YALI1_A01143g	1554	517	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	115941	117326	-						2905898	YALI1_A01173g	1386		partial;old_locus_tag=YALI2_A00675g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	115941	117326	-	XM_499633.3		XP_499633.3	uncharacterized protein		2905898	YALI1_A01173g	1386	1386	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	115941	117326	-	XP_499633.3		XM_499633.3	uncharacterized protein		2905898	YALI1_A01173g	1386	461	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	119860	122118	+						2906289	YALI1_A01198g	2259		partial;old_locus_tag=YALI2_A00017g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	119860	122118	+	XM_499634.2		XP_499634.2	uncharacterized protein		2906289	YALI1_A01198g	2259	2259	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	119860	122118	+	XP_499634.2		XM_499634.2	uncharacterized protein		2906289	YALI1_A01198g	2259	752	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123044	123409	+						94582257	YALI1_A01230g	366		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123044	123409	+	XM_068281600.1		XP_068137701.1	uncharacterized protein		94582257	YALI1_A01230g	321	321	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123044	123409	+	XP_068137701.1		XM_068281600.1	uncharacterized protein		94582257	YALI1_A01230g	321	106	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123501	124019	-						94582258	YALI1_A01240g	519		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123501	124019	-	XM_068281601.1		XP_068137702.1	uncharacterized protein		94582258	YALI1_A01240g	519	519	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	123501	124019	-	XP_068137702.1		XM_068281601.1	uncharacterized protein		94582258	YALI1_A01240g	519	172	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124160	124479	+						94582259	YALI1_A01241g	320		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124160	124479	+	XM_068281602.1		XP_068137703.1	uncharacterized protein		94582259	YALI1_A01241g	204	204	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124160	124479	+	XP_068137703.1		XM_068281602.1	uncharacterized protein		94582259	YALI1_A01241g	204	67	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124498	124950	-						2906313	YALI1_A01249g	453		partial;old_locus_tag=YALI2_A00674g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124498	124950	-	XM_499636.2		XP_499636.2	uncharacterized protein		2906313	YALI1_A01249g	453	453	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	124498	124950	-	XP_499636.2		XM_499636.2	uncharacterized protein		2906313	YALI1_A01249g	453	150	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	125793	126158	-						94582260	YALI1_A01260g	366		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	125793	126158	-	XM_068281603.1		XP_068137704.1	uncharacterized protein		94582260	YALI1_A01260g	312	312	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	125793	126158	-	XP_068137704.1		XM_068281603.1	uncharacterized protein		94582260	YALI1_A01260g	312	103	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	126737	128185	+						2905808	YALI1_A01267g	1449		partial;old_locus_tag=YALI2_A00018g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	126737	128185	+	XM_499637.1		XP_499637.1	uncharacterized protein		2905808	YALI1_A01267g	1449	1449	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	126737	128185	+	XP_499637.1		XM_499637.1	uncharacterized protein		2905808	YALI1_A01267g	1449	482	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	129842	130924	+						2906324	YALI1_A01298g	1083		partial;old_locus_tag=YALI2_A00019g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	129842	130924	+	XM_499638.2		XP_499638.1	uncharacterized protein		2906324	YALI1_A01298g	1083	1083	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	129842	130924	+	XP_499638.1		XM_499638.2	uncharacterized protein		2906324	YALI1_A01298g	1083	360	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	139487	142723	+						2906594	YALI1_A01394g	3237		partial;old_locus_tag=YALI2_A00020g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	139487	142723	+	XM_499639.3		XP_499639.2	uncharacterized protein		2906594	YALI1_A01394g	3237	3237	partial
