source_id	strand	citation	year	species_or_system	method	exact_locator	primary_url	verification_scope	transfer_limit
SRC-AS-001	COQ8	Reidenbach AG et al. Conserved lipid and small molecule modulation of COQ8 reveals regulation of the ancient kinase-like UbiB family	2018	Saccharomyces cerevisiae analog-sensitive Coq8 and biochemical systems	Acute chemical inhibition; 13C6-4HB; ATPase biochemistry	Fig. 6-7	https://doi.org/10.1016/j.chembiol.2017.11.001	primary source opened	Shows pathway-wide block/PPHB accumulation, not a resolved single reaction
SRC-AS-002	COQ8;COQ9	Xie LX et al. Overexpression of the Coq8 kinase in Saccharomyces cerevisiae coq null mutants allows accumulation of diagnostic intermediates and chemical bypass	2012	Saccharomyces cerevisiae deletion mutants with Coq8 overexpression	Metabolite profiling; complex stabilization; precursor rescue	Fig. 2-3, 5-6, 8; Supplementary Fig. S6	https://doi.org/10.1074/jbc.M112.360354	primary source opened	Overexpression changes several proteins; R695-like block is cell-context evidence, not isolated absolute catalysis
SRC-AS-003	COQ9	Hsieh EJ et al. Saccharomyces cerevisiae Coq9 polypeptide is a subunit of the mitochondrial coenzyme Q biosynthetic complex	2007	Saccharomyces cerevisiae	Mitochondrial localization; co-migration; co-immunoprecipitation	Fig. 1, 3-5	https://doi.org/10.1016/j.abb.2007.02.016	primary source opened	Physical association and topology do not establish reaction-specific necessity
SRC-AS-004	COQ9	Ozeir M et al. Coq6 Is Responsible for the C4-deamination Reaction in Coenzyme Q Biosynthesis in Saccharomyces cerevisiae	2015	Saccharomyces cerevisiae; human COQ6 complementation	Mutant intermediates; complementation	Fig. 5-6	https://doi.org/10.1074/jbc.M115.675744	primary source opened	COQ9 effect on COQ6 is indirect and not a universal binary dependency
SRC-AS-005	synthome	Allan CM et al. Identification of Coq11 in the Saccharomyces cerevisiae CoQ-synthome	2015	Saccharomyces cerevisiae tagged Coq proteins	Tandem-affinity purification; proteomics; immunoblotting	Fig. 3 and Fig. 13	https://doi.org/10.1074/jbc.M114.633131	primary source opened	Different baits capture different subsets; depicted stoichiometry is not an absolute repeated AND
SRC-AS-006	COQ9	Lohman DC et al. Mitochondrial COQ9 is a lipid-binding protein that associates with COQ7 to enable coenzyme Q biosynthesis	2014	Saccharomyces cerevisiae and structural systems	Lipid binding; structural and interaction assays	Fig. 1 and 6	https://doi.org/10.1073/pnas.1413128111	primary source opened	Supports lipid binding/COQ7 interaction, not direct atom-changing catalysis
SRC-AS-007	COQ9	Lohman DC et al. An isoprene lipid binding protein promotes eukaryotic coenzyme Q biosynthesis	2019	Saccharomyces cerevisiae	Interface mutants; Coq8 rescue; 2,4-diHB bypass	Fig. 5-6	https://doi.org/10.1016/j.molcel.2018.11.033	primary source opened	Phenotype mixes substrate presentation, stability and bypass
SRC-AS-008	COQ9	Manicki M et al. Structure and functionality of a multimeric human COQ7:COQ9 complex	2022	Recombinant proteins and yeast interface mutants	Structural biology; mutagenesis	Fig. 3-4	https://doi.org/10.1016/j.molcel.2022.10.003	primary source opened	Captured OPP rather than DMQ; no direct substrate-transfer observation; mutants retain partial function
SRC-AS-009	synthome	Subramanian K et al. CoQ biosynthetic proteins assemble into domains at ER-mitochondria contacts	2019	Saccharomyces cerevisiae	Live-cell imaging; genetics; substrate rescue	Fig. 3-5	https://doi.org/10.1083/jcb.201808044	primary source opened	Supports dynamic substrate-dependent organization, not fixed reaction-by-reaction AND
SRC-QP-001	pool	Yamada Y et al. Coenzyme Q system in ascosporogenous yeasts	1976	Endomycopsis lipolytica CBS 6124	Whole-cell extraction; partial purification; chromatography; MS	Methods p.326; Table 2 pp.330-331; Results pp.334-335	https://doi.org/10.2323/jgam.22.325	primary source opened	Identifies Q9 system; no absolute pool, recovery or uncertainty
SRC-QP-002	pool	Kogan LM et al. Ubiquinone-9 and ergosterol from Candida paralipolytica yeasts	1985	Candida paralipolytica	KOH/ethanol hydrolysis; hexane extraction	Accessible abstract; PMID 3983092	https://pubmed.ncbi.nlm.nih.gov/3983092/	bibliographic record only	0.026 percent denominator, strain, medium, recovery and uncertainty unavailable
SRC-QP-003	pool	US8815567B2, Coenzyme Q10 production in a recombinant oleaginous yeast	2014	Yarrowia lipolytica ATCC 20362	Oil extraction; HPLC-DAD with external Q9 standard	Example 2, lines 2769-2785; line 2785 states CoQ9 calculated in the oil	https://patents.google.com/patent/US8815567B2/en	primary grey source opened	0.2-0.3 percent is extracted-oil mass fraction, not gDCW
SRC-QP-004	pool	Dröse S et al. Full recovery of complex-I NADH:ubiquinone activity by phospholipids	2002	Yarrowia lipolytica PIPO	Purified complex I; extraction; RP-HPLC	Methods 2.2-2.3; Results/Fig. 1	https://doi.org/10.1016/S0005-2728(02)00307-9	primary source opened	0.2 and 0.4 Q9/complex are preparation-specific occupancy, not whole-cell pool
SRC-QP-005	pool	Parey K et al. High-resolution cryo-EM structures of respiratory complex I	2019	Yarrowia lipolytica GB30 delta-ST1	Quantitative MS; cryo-EM of purified complex I	Results, A second Q binding site; Fig. S4D; Table S3	https://doi.org/10.1126/sciadv.aax9484	primary source opened	1.9 Q9/complex is purified-protein occupancy, not c_Q
SRC-QP-006	pool	Saeed N et al. CoQ isoprenyl chain length mediates fungal nutritional resistance	2024	Yarrowia COQ1 sequence expressed in Saccharomyces cerevisiae	Locus replacement; TLC/HPLC	Methods and Fig. 5-6	https://doi.org/10.1128/mbio.00342-24	primary source opened	Supports Q9 chain identity, not native target-condition abundance
SRC-QP-007	pool	Schultz JR and Clarke CF. Characterization of Saccharomyces cerevisiae ubiquinone-deficient mutants	1999	Saccharomyces cerevisiae EG103	Dry-weight normalization; extraction under nitrogen; HPLC/ECD	Methods pp.123-124; Table 3 p.127	https://doi.org/10.1002/biof.5520090206	primary source opened	High-quality comparator but different species, Q homolog, phase and medium
SRC-QP-008	pool	Santos-Ocaña et al. Whole-cell coenzyme Q6 measurements in Saccharomyces cerevisiae	1998	Saccharomyces cerevisiae	Dry-weight normalized extraction and HPLC	Table II	https://doi.org/10.1074/jbc.273.14.8099	primary source opened	Other species and oxidized Q6 only
SRC-QP-009	pool	Worland et al. Carbon-source-resolved flux analysis of Yarrowia lipolytica W29	2024	Yarrowia lipolytica W29	13C-MFA; transcriptomics; GEM	Full study screen	https://doi.org/10.1016/j.ymben.2024.06.010	primary source opened	No targeted CoQ9/Q9H2 pool or decay series
SRC-QP-010	turnover	Spinach ubiquinone turnover study	2000	Spinach tissue	Labeled-precursor radioactivity decay	Abstract	https://doi.org/10.1016/S0168-9452(00)00200-4	primary source checked	Other kingdom; must not provide Yarrowia k_deg
