yali1,yali0,geneid,metab_pathways,ec,verdict,in_model
YALI1_A08175g,YALI0A08426g,2906103,,2.7.7.7,metabolic,no
YALI1_A08434r,YALI0A08492r,2905729,00970,,metabolic,no
YALI1_A08436g,YALI0A08536g,2905871,00563;01100,,metabolic,no
YALI1_A08468g,YALI0A08580g,2905883,,2.3.2.27,metabolic,no
YALI1_A08542r,YALI0A08690r,2906102,00970,,metabolic,no
YALI1_A08620r,YALI0A08822r,2906095,00970,,metabolic,no
YALI1_A08662r,YALI0A08976r,90949331,00970,,metabolic,no
YALI1_A08873r,YALI0A09130r,2906558,00970,,metabolic,no
YALI1_A08951r,YALI0A09218r,2906580,00970,,metabolic,no
YALI1_A09166g,YALI0A09449g,2905932,,3.1.1.112,metabolic,no
YALI1_A09856g,YALI0A09988g,2905768,,3.4.24.59,metabolic,no
YALI1_A10105g,YALI0A10230g,2905994,,2.7.11.1,metabolic,no
YALI1_A10309r,YALI0A10340r,2905959,00970,,metabolic,no
YALI1_A10529g,YALI0A10571g,2905923,,2.3.1.258;2.3.1.309,metabolic,no
YALI1_A10921r,YALI0A10835r,2905937,00970,,metabolic,no
YALI1_A11178r,YALI0A11033r,2905828,00970,,metabolic,no
YALI1_A11218g,YALI0A11099g,2905839,,5.6.1.3,metabolic,no
YALI1_A11270g,YALI0A11157g,2905851,,5.6.2.7,metabolic,no
YALI1_A11357r,YALI0A11242r,2906222,00970,,metabolic,no
YALI1_A11394r,YALI0A11363r,2905752,00970,,metabolic,no
YALI1_A11418r,YALI0A11429r,2906224,00970,,metabolic,no
YALI1_A11439g,YALI0A11473g,2906177,,7.6.2.2,metabolic,no
YALI1_A11506g,YALI0A11539g,2906189,,5.6.2.3,metabolic,no
YALI1_A11880r,YALI0A11693r,2906208,00970,,metabolic,no
YALI1_A12099g,YALI0A11869g,2906155,,5.6.2.6,metabolic,no
YALI1_A12177r,YALI0A11957r,2906407,00970,,metabolic,no
YALI1_A12225g,YALI0A12001g,2906154,,2.7.7.6,metabolic,no
YALI1_A12403g,YALI0A12133g,2906192,,5.6.2.7,metabolic,no
YALI1_A12530r,YALI0A12309r,2906244,00970,,metabolic,no
YALI1_A12630r,YALI0A12463r,2906277,00970,,metabolic,no
YALI1_A12676r,YALI0A12529r,2906384,00970,,metabolic,no
YALI1_A12756g,YALI0A12683g,2906225,,3.1.26.4,metabolic,no
YALI1_A12772g,YALI0A12705g,2906169,,3.1.26.4,metabolic,no
YALI1_A12812r,YALI0A12727r,2906351,00970,,metabolic,no
YALI1_A12836r,YALI0A12771r,2906416,00970,,metabolic,no
YALI1_A12944r,YALI0A12947r,2906399,00970,,metabolic,no
YALI1_A12995r,YALI0A12991r,2906420,00970,,metabolic,no
YALI1_A13046g,YALI0A13057g,2906246,,3.1.26.11,metabolic,no
YALI1_A13432r,YALI0A13343r,2906294,00970,,metabolic,no
YALI1_A13490r,YALI0A13409r,2906172,00970,,metabolic,no
YALI1_A13498r,YALI0A13453r,2906162,00970,,metabolic,no
YALI1_A13596g,YALI0A13563g,2906207,00600;01100,3.1.4.12,metabolic,no
YALI1_A13649g,YALI0A13585g,2906179,00513;01100,,metabolic,no
YALI1_A13831r,YALI0A13717r,2906272,00970,,metabolic,no
YALI1_A13837r,YALI0A13761r,2906450,00970,,metabolic,no
YALI1_A13841r,YALI0A13805r,2906358,00970,,metabolic,no
YALI1_A13862r,YALI0A13871r,2906268,00970,,metabolic,no
YALI1_A13888r,YALI0A14003r,2906261,00970,,metabolic,no
YALI1_A13923r,YALI0A14025r,2906462,00970,,metabolic,no
YALI1_A13973r,YALI0A14091r,2906257,00970,,metabolic,no
YALI1_A13982r,YALI0A14113r,2906461,00970,,metabolic,no
YALI1_A13996r,YALI0A14168r,2906459,00970,,metabolic,no
YALI1_A14079g,YALI0A14234g,2906493,00130;01100;01110,6.2.1.12,metabolic,no
YALI1_A14118r,YALI0A14278r,2906254,00970,,metabolic,no
YALI1_A14171r,YALI0A14344r,2906251,00970,,metabolic,no
YALI1_A14215r,YALI0A14410r,2906161,00970,,metabolic,no
YALI1_A14586r,YALI0A14652r,2906165,00970,,metabolic,no
YALI1_A14783g,YALI0A14839g,2906229,,2.7.11.1,metabolic,no
YALI1_A15073g,YALI0A15059g,2906075,,3.1.26.4,metabolic,no
YALI1_A15105g,YALI0A15103g,2906601,00130;01100;01110,6.2.1.12,metabolic,no
YALI1_A15297r,YALI0A15191r,2906086,00970,,metabolic,no
YALI1_A15382r,YALI0A15279r,2906015,00970,,metabolic,no
YALI1_A15391r,YALI0A15323r,2906573,00970,,metabolic,no
YALI1_A15564r,YALI0A15510r,2906584,00970,,metabolic,no
YALI1_A15682r,YALI0A15664r,2906500,00970,,metabolic,no
YALI1_A15740r,YALI0A15730r,2906321,00970,,metabolic,no
YALI1_A15835r,YALI0A15818r,2906014,00970,,metabolic,no
YALI1_A15953r,YALI0A15994r,2906491,00970,,metabolic,no
YALI1_A16028g,YALI0A16082g,2906013,,3.1.26.4,metabolic,no
YALI1_A16050r,YALI0A16104r,2906498,00970,,metabolic,no
YALI1_A16274r,YALI0A16335r,2906134,00970,,metabolic,no
YALI1_A16422g,YALI0A16445g,2906052,00260;00350;00360;00410;01100;01110,1.4.3.21,metabolic,no
YALI1_A16618g,YALI0A16610g,2906168,00600;01100,3.1.4.12,metabolic,no
YALI1_A16628r,YALI0A16632r,2906401,00970,,metabolic,no
YALI1_A17035r,YALI0A16951r,2905817,00970,,metabolic,no
YALI1_A17126r,YALI0A17083r,2906315,00970,,metabolic,no
YALI1_A17450g,YALI0A17314g,2906171,,5.2.1.8,metabolic,no
YALI1_A17622g,YALI0A17512g,2905848,00510;01100,2.4.1.265,metabolic,no
YALI1_A17732r,YALI0A17622r,2905929,00970,,metabolic,no
YALI1_A17781r,YALI0A17710r,2906309,00970,,metabolic,no
YALI1_A18378r,YALI0A18084r,2906410,00970,,metabolic,no
YALI1_A19428g,YALI0A18568g,2905736,,5.2.1.8,metabolic,no
YALI1_A19459g,YALI0A18590g,2905941,,2.7.11.1,metabolic,no
YALI1_A19731g,YALI0A18788g,2906488,,2.3.2.27,metabolic,no
YALI1_A19759g,YALI0A18810g,2906337,,3.4.16.5,metabolic,no
YALI1_A19821r,YALI0A18854r,2906281,00970,,metabolic,no
YALI1_A20320g,YALI0A19404g,2906332,,5.6.2.3;5.6.2.5,metabolic,no
YALI1_A20370g,YALI0A19426g,2906475,00480;01100,1.11.1.25;1.11.1.27,metabolic,no
YALI1_A20453g,YALI0A19514g,2906270,,2.3.2.27,metabolic,no
YALI1_A20602g,YALI0A19602g,2906479,,5.2.1.8,metabolic,no
YALI1_A20611g,YALI0A19624g,2906512,00760;01100,2.7.7.1,metabolic,no
YALI1_A21120g,YALI0A20086g,2906043,,3.1.1.89,metabolic,no
YALI1_A21277r,YALI0A20229r,2906536,00970,,metabolic,no
YALI1_A21311g,YALI0A20295g,2906534,,3.1.4.37,metabolic,no
YALI1_A21345g,YALI0A20328g,2906391,,5.6.2.7,metabolic,no
YALI1_A21409g,YALI0A20372g,2905753,,2.3.2.26,metabolic,no
YALI1_A21477g,YALI0A20438g,2906340,,3.2.1.101,metabolic,no
YALI1_A21509g,YALI0A20482g,2906583,00563;01100,2.4.1.198,metabolic,no
YALI1_A21913g,YALI0A20834g,2905772,,3.5.1.98,metabolic,no
YALI1_B00049g,YALI0B00110g,2907562,,2.3.2.27,metabolic,no
YALI1_B00280g,YALI0B00308g,2907145,,3.1.3.16,metabolic,no
YALI1_B00297r,YALI0B00330r,2907278,00970,,metabolic,no
YALI1_B01325g,YALI0B00638g,2907598,,2.3.1.257,metabolic,no
YALI1_B01511g,YALI0B00880g,2906620,,2.7.11.1,metabolic,no
YALI1_B01552g,YALI0B00902g,2906884,00565;01100,,metabolic,no
YALI1_B02177g,YALI0B01276g,2906673,,5.4.99.42,metabolic,no
YALI1_B02415g,YALI0B01408g,2907575,,3.4.16.5,metabolic,no
YALI1_B02533g,YALI0B01606g,2906795,,2.3.1.225,metabolic,no
YALI1_B03685r,YALI0B02354r,2907394,00970,,metabolic,no
YALI1_B03807g,YALI0B02420g,2906848,00480,1.8.5.1;2.5.1.18,metabolic,no
YALI1_B03867r,YALI0B02486r,2906771,00970,,metabolic,no
YALI1_B04023r,YALI0B02618r,2907200,00970,,metabolic,no
YALI1_B04248g,YALI0B02816g,2907453,,2.7.11.24,metabolic,no
YALI1_B04910r,YALI0B03432r,2906742,00970,,metabolic,no
YALI1_B04950g,YALI0B03498g,2907327,,2.1.1.348,metabolic,no
YALI1_B05043g,YALI0B03575g,7009395,,2.3.2.23,metabolic,no
YALI1_B05053r,YALI0B03586r,2906610,00970,,metabolic,no
YALI1_B05123r,YALI0B03674r,2907579,00970,,metabolic,no
YALI1_B05185g,YALI0B03718g,2907580,,2.3.2.27,metabolic,no
YALI1_B05201r,YALI0B03740r,2906890,00970,,metabolic,no
YALI1_B05265r,YALI0B03806r,2907102,00970,,metabolic,no
YALI1_B05288r,YALI0B03872r,2907115,00970,,metabolic,no
YALI1_B05295g,YALI0B03916g,2907105,,1.8.4.11,metabolic,no
YALI1_B05762g,YALI0B04290g,2906755,,3.1.3.16;3.1.3.48,metabolic,no
YALI1_B05891g,YALI0B04356g,2907251,00750;01100;01240,1.4.3.5,metabolic,no
YALI1_B05971g,YALI0B04422g,2907205,00563;01100,,metabolic,no
YALI1_B06398r,YALI0B04664r,2906920,00970,,metabolic,no
YALI1_B06469r,YALI0B04730r,2906947,00970,,metabolic,no
YALI1_B06487g,YALI0B04752g,2906935,,3.1.26.5,metabolic,no
YALI1_B06692r,YALI0B04818r,2907581,00970,,metabolic,no
YALI1_B06704g,YALI0B04840g,2907582,,2.7.11.1,metabolic,no
YALI1_B06776g,YALI0B04884g,2907280,,1.13.11.24,metabolic,no
YALI1_B06892r,YALI0B05016r,2906981,00970,,metabolic,no
YALI1_B07076g,YALI0B05104g,2906730,,3.4.11.10,metabolic,no
YALI1_B07162g,YALI0B05170g,2906626,,3.4.16.6,metabolic,no
YALI1_B07271g,YALI0B05258g,2907559,,3.4.17.21,metabolic,no
YALI1_B07399g,YALI0B05412g,2907274,00270;00480;01100;01240,,metabolic,no
YALI1_B07549g,YALI0B05522g,2907621,,3.4.11.21,metabolic,no
YALI1_B07598g,YALI0B05566g,2907363,,2.7.11.1,metabolic,no
YALI1_B07786g,YALI0B05742g,2907619,,2.3.1.255,metabolic,no
YALI1_B07983g,YALI0B05940g,2907209,,2.3.2.26,metabolic,no
YALI1_B08110r,YALI0B05984r,2907089,00970,,metabolic,no
YALI1_B08143r,YALI0B06050r,2907296,00970,,metabolic,no
YALI1_B08493g,YALI0B06413g,2907588,,1.6.99.1,metabolic,no
YALI1_B08650g,YALI0B06600g,2906941,00510;01100,3.2.1.207,metabolic,no
YALI1_B08978g,YALI0B06897g,2906648,,5.6.2.3,metabolic,no
YALI1_B09044g,YALI0B06963g,2906799,,3.1.3.16,metabolic,no
YALI1_B09090g,YALI0B07007g,2906932,00130;01100;01110;01240,1.6.5.2,metabolic,no
YALI1_B09117g,YALI0B07029g,2906915,00130;01100;01110;01240,1.6.5.2,metabolic,no
YALI1_B09239r,YALI0B07139r,2907199,00970,,metabolic,no
YALI1_B09299g,YALI0B07227g,2907406,,3.1.1.112,metabolic,no
YALI1_B09333g,YALI0B07293g,2907538,,4.6.1.16,metabolic,no
YALI1_B09340r,YALI0B07315r,2907166,00970,,metabolic,no
YALI1_B09672r,YALI0B07469r,2906738,00970,,metabolic,no
YALI1_B11167g,YALI0B08294g,2907104,,3.1.3.48,metabolic,no
YALI1_B11639r,YALI0B08580r,2906832,00970,,metabolic,no
YALI1_B11666r,YALI0B08646r,2906770,00970,,metabolic,no
YALI1_B11983g,YALI0B08921g,2907361,,1.15.1.1,metabolic,no
YALI1_B12195g,YALI0B09053g,2906946,,5.6.2.6,metabolic,no
YALI1_B12221r,YALI0B09097r,2907235,00970,,metabolic,no
YALI1_B12320r,YALI0B09185r,2907303,00970,,metabolic,no
YALI1_B12633g,YALI0B09427g,2907285,00480;01100,,metabolic,no
YALI1_B12714g,YALI0B09493g,90949583,,1.6.99.1,metabolic,no
YALI1_B12847g,YALI0B09559g,2906810,,2.3.2.27,metabolic,no
YALI1_B13041g,YALI0B09669g,2907264,00600;01100,2.4.1.80,metabolic,no
YALI1_B13148r,YALI0B09801r,2907628,00970,,metabolic,no
YALI1_B13307r,YALI0B09911r,2907592,00970,,metabolic,no
YALI1_B13556g,YALI0B10043g,2906919,00563;01100,,metabolic,no
YALI1_B13699g,YALI0B10153g,2906773,01040;01100;01212,1.14.19.22;1.14.19.6,metabolic,no
YALI1_B14236g,YALI0B10560g,2907607,,2.1.1.310,metabolic,no
YALI1_B14418g,YALI0B10758g,2907494,,2.7.11.22,metabolic,no
YALI1_B14569r,YALI0B10868r,2906818,00970,,metabolic,no
YALI1_B14793g,YALI0B11088g,2906936,,5.2.1.8,metabolic,no
YALI1_B15072g,YALI0B11352g,2907260,,5.6.2.6,metabolic,no
YALI1_B15092g,YALI0B11374g,2907307,,3.4.25.1,metabolic,no
YALI1_B15109g,YALI0B11396g,2907483,,2.7.7.102,metabolic,no
YALI1_B15521g,YALI0B11726g,2907178,,5.6.2.4,metabolic,no
YALI1_B15852g,YALI0B11968g,2907507,,5.6.2.6,metabolic,no
YALI1_B15858r,YALI0B11990r,2907539,00970,,metabolic,no
YALI1_B16022g,YALI0B12188g,2907177,,7.6.2.2,metabolic,no
YALI1_B16158g,YALI0B12298g,2907129,00600;01100,3.1.4.12,metabolic,no
YALI1_B16477g,YALI0B12518g,2907625,00513;01100,2.4.1.232,metabolic,no
YALI1_B16687g,YALI0B12628g,2907054,,2.3.1.311,metabolic,no
YALI1_B16697r,YALI0B12650r,2907055,00970,,metabolic,no
YALI1_B17039g,YALI0B12870g,2906668,,4.2.99.18,metabolic,no
YALI1_B17050g,YALI0B12892g,2906669,,5.6.2.3,metabolic,no
YALI1_B17228r,YALI0B13024r,2906846,00970,,metabolic,no
YALI1_B17518g,YALI0B13178g,2907533,,2.7.12.2,metabolic,no
YALI1_B17990g,YALI0B13530g,2907401,,3.2.1.101,metabolic,no
YALI1_B18036r,YALI0B13574r,2907403,00970,,metabolic,no
YALI1_B18451g,YALI0B13904g,2907017,,5.6.2.6,metabolic,no
YALI1_B18460g,YALI0B13926g,2907018,,3.1.3.48,metabolic,no
YALI1_B18631g,YALI0B14080g,2906955,,3.2.2.21,metabolic,no
YALI1_B18764g,YALI0B14223g,2906806,00563;01100,,metabolic,no
YALI1_B18811g,YALI0B14267g,2906802,,3.4.25.1,metabolic,no
YALI1_B19205g,YALI0B14597g,2907261,,3.4.19.12,metabolic,no
YALI1_B19290g,YALI0B14663g,2907226,,5.2.1.8,metabolic,no
YALI1_B19520g,YALI0B14883g,2907346,00310;01100,2.1.1.354,metabolic,no
YALI1_B19602g,YALI0B14949g,2907344,,2.7.11.1,metabolic,no
YALI1_B19962g,YALI0B15147g,2907333,,3.1.13.4,metabolic,no
YALI1_B20052g,YALI0B15224g,2907332,,3.4.25.1,metabolic,no
YALI1_B20521g,YALI0B15642g,2906967,,5.6.2.6,metabolic,no
YALI1_B20634g,YALI0B15722g,2906938,,2.7.13.3,metabolic,no
YALI1_B20870g,YALI0B15906g,2907026,,2.7.12.2,metabolic,no
YALI1_B20899r,YALI0B15928r,2906821,00970,,metabolic,no
YALI1_B20935g,YALI0B15972g,2906823,00563;01100,3.1.4.50,metabolic,no
YALI1_B21042g,YALI0B16082g,2906784,00770;01100;01110,2.7.8.7,metabolic,no
YALI1_B21194g,YALI0B16236g,2906836,,3.6.1.10,metabolic,no
YALI1_B21208g,YALI0B16258g,2906837,,2.7.7.6,metabolic,no
YALI1_B21320r,YALI0B16346r,2907504,00970,,metabolic,no
YALI1_B21423g,YALI0B16434g,2907461,00510;00513;01100,2.4.99.18,metabolic,no
YALI1_B21493g,YALI0B16500g,2907445,,3.4.21.48,metabolic,no
YALI1_B21562g,YALI0B16544g,2907385,,5.6.2.3,metabolic,no
YALI1_B21594g,YALI0B16566g,2907386,00230;00240;01100;01232,3.1.3.89,metabolic,no
YALI1_B21774g,YALI0B16698g,2907268,,3.4.19.12,metabolic,no
YALI1_B21798g,YALI0B16742g,2907154,,1.15.1.1,metabolic,no
YALI1_B22015g,YALI0B16896g,2907091,,5.6.2.7,metabolic,no
YALI1_B22276g,YALI0B17072g,2906781,,3.4.19.12,metabolic,no
YALI1_B22410g,YALI0B17226g,2906680,00510;01100,2.4.1.256,metabolic,no
YALI1_B22561g,YALI0B17358g,2906622,,2.3.2.32,metabolic,no
YALI1_B22747g,YALI0B17556g,2907228,,2.7.11.17,metabolic,no
YALI1_B22770r,YALI0B17578r,2907229,00970,,metabolic,no
YALI1_B23391r,YALI0B18106r,2906962,00970,,metabolic,no
YALI1_B23939g,YALI0B18436g,2907375,,3.5.4.34,metabolic,no
YALI1_B24292g,YALI0B18700g,2907084,,2.7.11.1,metabolic,no
YALI1_B24335g,YALI0B18722g,2907085,,5.6.2.3,metabolic,no
YALI1_B24543r,YALI0B18832r,2906887,00970,,metabolic,no
YALI1_B24564g,YALI0B18854g,2906929,00561;01100;01110,3.1.1.23,metabolic,no
YALI1_B24606g,YALI0B18876g,2906930,,3.1.4.54,metabolic,no
YALI1_B25090r,YALI0B19140r,2906851,00970,,metabolic,no
YALI1_B25107g,YALI0B19162g,2906852,00340;01100;01110,4.4.1.36,metabolic,no
YALI1_B25290r,YALI0B19272r,2907411,00970,,metabolic,no
YALI1_B25313g,YALI0B19316g,2907412,,3.4.21.48,metabolic,no
YALI1_B25479r,YALI0B19404r,2907423,00970,,metabolic,no
YALI1_B25580r,YALI0B19514r,2907273,00970,,metabolic,no
YALI1_B25593g,YALI0B19558g,2907246,,2.1.1.33,metabolic,no
YALI1_B25603g,YALI0B19580g,2907247,,3.4.14.4,metabolic,no
YALI1_B26017r,YALI0B19932r,2907021,00970,,metabolic,no
YALI1_B26235g,YALI0B20086g,2906892,,1.15.1.1,metabolic,no
YALI1_B26639g,YALI0B20328g,2906694,00470;01100,2.3.1.36,metabolic,no
YALI1_B26715g,YALI0B20394g,2906696,,3.4.11.26,metabolic,no
YALI1_B26728g,YALI0B20416g,2906632,00480,1.8.5.1;2.5.1.18,metabolic,no
YALI1_B27110g,YALI0B20746g,2907190,00563;01100,,metabolic,no
YALI1_B27179g,YALI0B20812g,2907325,,3.4.16.5,metabolic,no
YALI1_B27307g,YALI0B20911g,7009422,,2.3.2.23,metabolic,no
YALI1_B27588g,YALI0B21186g,2906739,,3.4.11.15,metabolic,no
YALI1_B27984g,YALI0B21494g,2907429,,3.1.26.4,metabolic,no
YALI1_B28017g,YALI0B21516g,2907485,,1.3.1.88,metabolic,no
YALI1_B28053g,YALI0B21538g,2907486,,5.6.2.7,metabolic,no
YALI1_B28283r,YALI0B21648r,2907478,00970,,metabolic,no
YALI1_B28381r,YALI0B21736r,2907204,00970,,metabolic,no
YALI1_B28411r,YALI0B21802r,2907182,00970,,metabolic,no
YALI1_B29446g,YALI0B22528g,2907420,,2.7.11.22;2.7.11.23,metabolic,no
YALI1_B29505g,YALI0B22572g,2907481,,5.6.2.7,metabolic,no
YALI1_B29528g,YALI0B22616g,2907289,,3.1.3.16;3.1.3.43,metabolic,no
YALI1_B29844g,YALI0B22880g,2907070,,3.4.21.48,metabolic,no
YALI1_B29895g,YALI0B22946g,2906944,00230;01100;01110;01232;01240,2.7.4.3,metabolic,no
YALI1_B30024g,YALI0B23100g,2906980,00051;01100,4.1.2.53,metabolic,no
YALI1_B30039g,YALI0B23122g,2906778,,5.1.99.6,metabolic,no
YALI1_B30218g,YALI0B23364g,2906625,,3.4.21.105,metabolic,no
YALI1_C00116g,YALI0C00110g,2909401,,3.1.1.2;3.1.8.1,metabolic,no
YALI1_C00164g,YALI0C00165g,2909190,,3.4.19.12,metabolic,no
YALI1_C00209g,YALI0C00187g,2909191,,2.3.1.45,metabolic,no
YALI1_C00732r,YALI0C00517r,2909179,00970,,metabolic,no
YALI1_C00772g,YALI0C00561g,2909178,,2.3.2.23,metabolic,no
YALI1_C01072g,YALI0C00803g,2909165,,3.4.16.5,metabolic,no
YALI1_C01244g,YALI0C00891g,2909169,,2.7.11.1,metabolic,no
YALI1_C01338g,YALI0C00957g,2909172,,2.3.2.27,metabolic,no
YALI1_C01356g,YALI0C00979g,2909150,00600;01100,3.1.4.12,metabolic,no
YALI1_C01416g,YALI0C01023g,2909503,,2.3.2.27,metabolic,no
YALI1_C01800g,YALI0C01287g,2909163,,2.7.1.160,metabolic,no
YALI1_C02086g,YALI0C01485g,2909128,00563;01100,,metabolic,no
YALI1_C02125r,YALI0C01529r,2909126,00970,,metabolic,no
YALI1_C02152g,YALI0C01573g,2909127,,2.7.7.7,metabolic,no
YALI1_C02215g,YALI0C01617g,2909130,00562;01100,2.7.1.67,metabolic,no
YALI1_C02507r,YALI0C01804r,2909113,00970,,metabolic,no
YALI1_C02849r,YALI0C02079r,2909102,00970,,metabolic,no
YALI1_C03335g,YALI0C02365g,2909083,,5.6.2.6,metabolic,no
YALI1_C03495g,YALI0C02475g,2909087,00510;00513;01100,2.4.1.260,metabolic,no
YALI1_C03752r,YALI0C02673r,2909068,00970,,metabolic,no
YALI1_C03774g,YALI0C02717g,2909071,,3.4.19.12,metabolic,no
YALI1_C03914g,YALI0C02849g,2909077,,3.1.3.16,metabolic,no
YALI1_C04143g,YALI0C03069g,2909060,00480;01100,2.5.1.18,metabolic,no
YALI1_C04172r,YALI0C03113r,2909062,00970,,metabolic,no
YALI1_C04363r,YALI0C03289r,2909281,00970,,metabolic,no
YALI1_C04490g,YALI0C03399g,2909283,,3.1.3.16,metabolic,no
YALI1_C04853g,YALI0C03652g,2909911,,3.4.22.68,metabolic,no
YALI1_C04977r,YALI0C03740r,2909915,00970,,metabolic,no
YALI1_C04991g,YALI0C03762g,2909916,00785;01100;01240,,metabolic,no
YALI1_C04996g,YALI0C03784g,2909917,,3.1.26.5,metabolic,no
YALI1_C05242r,YALI0C03938r,2909676,00970,,metabolic,no
YALI1_C05264g,YALI0C04004g,2909678,00513;01100,,metabolic,no
YALI1_C05554g,YALI0C04158g,2909685,,2.7.11.1,metabolic,no
YALI1_C06106g,YALI0C04587g,2909653,,2.7.12.1,metabolic,no
YALI1_C06243r,YALI0C04752r,2909540,00970,,metabolic,no
YALI1_C06342r,YALI0C04840r,2909544,00970,,metabolic,no
YALI1_C06425r,YALI0C04950r,2909548,00970,,metabolic,no
YALI1_C06644r,YALI0C05192r,2909369,00970,,metabolic,no
YALI1_C06695g,YALI0C05280g,2909371,,2.3.1.234,metabolic,no
