model_gene,yali1_s2,yali0,category,n_reactions
YALI1A09694g,YALI1_A09694g,YALI0A09856g,has_YALI0,5
YALI1A09766g,YALI1_A09766g,YALI0A09900g,has_YALI0,2
YALI1A09911g,YALI1_A09911g,YALI0A10032g,has_YALI0,2
YALI1A09939g,YALI1_A09939g,YALI0A10076g,has_YALI0,1
YALI1A10254g,YALI1_A10254g,YALI0A10310g,has_YALI0,1
YALI1A10708g,YALI1_A10708g,YALI0A10659g,has_YALI0,1
YALI1A11258g,YALI1_A11258g,YALI0A11143g,has_YALI0,2
YALI1A11654g,YALI1_A11654g,YALI0A11605g,has_YALI0,3
YALI1A12284g,YALI1_A12284g,YALI0A12045g,has_YALI0,1
YALI1A12540g,YALI1_A12540g,YALI0A12353g,has_YALI0,1
YALI1A12688g,YALI1_A12688g,YALI0A12573g,has_YALI0,3
YALI1A13454g,YALI1_A13454g,YALI0A13387g,has_YALI0,1
YALI1A13994g,YALI1_A13994g,YALI0A14157g,has_YALI0,1
YALI1A14024g,YALI1_A14024g,YALI0A14212g,has_YALI0,1
YALI1A14287g,YALI1_A14287g,YALI0A14498g,has_YALI0,1
YALI1A14721g,YALI1_A14721g,YALI0A14784g,has_YALI0,1
YALI1A14736g,YALI1_A14736g,YALI0A14806g,has_YALI0,1
YALI1A15132g,YALI1_A15132g,YALI0A15125g,has_YALI0,1
YALI1A15227g,YALI1_A15227g,YALI0A15147g,has_YALI0,11
YALI1A15624g,YALI1_A15624g,YALI0A15576g,has_YALI0,6
YALI1A15863g,YALI1_A15863g,YALI0A15906g,has_YALI0,3
YALI1A15879g,YALI1_A15879g,YALI0A15950g,has_YALI0,3
YALI1A15925g,YALI1_A15925g,YALI0A15972g,has_YALI0,1
YALI1A16292g,YALI1_A16292g,YALI0A16379g,has_YALI0,9
YALI1A16642g,YALI1_A16642g,YALI0A16698g,has_YALI0,1
YALI1A16988g,YALI1_A16988g,YALI0A16863g,has_YALI0,1
YALI1A17289g,YALI1_A17289g,YALI0A17171g,has_YALI0,1
YALI1A17570g,YALI1_A17570g,YALI0A17468g,has_YALI0,1
YALI1A17640g,YALI1_A17640g,YALI0A17534g,has_YALI0,3
YALI1A18062g,YALI1_A18062g,YALI0A17875g,has_YALI0,6
YALI1A18344g,YALI1_A18344g,YALI0A18062g,has_YALI0,1
YALI1A18514g,YALI1_A18514g,YALI0A18183g,has_YALI0,2
YALI1A19526g,YALI1_A19526g,YALI0A18656g,has_YALI0,2
YALI1A19862g,YALI1_A19862g,YALI0A18920g,has_YALI0,3
YALI1A20063g,YALI1_A20063g,YALI0A19074g,has_YALI0,1
YALI1A20089g,YALI1_A20089g,YALI0A19096g,has_YALI0,5
YALI1A20176g,YALI1_A20176g,YALI0A19206g,has_YALI0,1
YALI1A20201g,YALI1_A20201g,YALI0A19228g,has_YALI0,1
YALI1A20528g,YALI1_A20528g,YALI0A19558g,has_YALI0,3
YALI1A20558g,YALI1_A20558g,YALI0A19580g,has_YALI0,1
YALI1A21000g,YALI1_A21000g,YALI0A19910g,has_YALI0,3
YALI1A21156g,YALI1_A21156g,YALI0A20108g,has_YALI0,2
YALI1A21372g,YALI1_A21372g,YALI0A20350g,has_YALI0,2
YALI1A21711g,YALI1_A21711g,YALI0A20680g,has_YALI0,3
YALI1A21970g,YALI1_A21970g,YALI0A20922g,has_YALI0,1
YALI1A22129g,YALI1_A22129g,YALI0A21153g,has_YALI0,1
YALI1A22228g,YALI1_A22228g,YALI0A21263g,has_YALI0,1
YALI1A22275g,YALI1_A22275g,YALI0A21307g,has_YALI0,1
YALI1A22440g,YALI1_A22440g,YALI0A21417g,has_YALI0,2
YALI1B00214g,YALI1_B00214g,YALI0B00220g,has_YALI0,2
YALI1B00357g,YALI1_B00357g,YALI0B00396g,has_YALI0,1
YALI1B00578g,YALI1_B00578g,YALI0B00572g,has_YALI0,1
YALI1B00908g,YALI1_B00908g,YALI0B00792g,has_YALI0,3
YALI1B01084g,YALI1_B01084g,YALI0B00726g,has_YALI0,2
YALI1B01136g,YALI1_B01136g,YALI0B00704g,has_YALI0,1
YALI1B01428g,YALI1_B01428g,YALI0B00836g,has_YALI0,1
YALI1B02194g,YALI1_B02194g,YALI0B01298g,has_YALI0,14
YALI1B02283g,YALI1_B02283g,YALI0B01342g,has_YALI0,1
YALI1B02345g,YALI1_B02345g,YALI0B01364g,has_YALI0,2
YALI1B02487g,YALI1_B02487g,YALI0B01540g,has_YALI0,1
YALI1B02637g,YALI1_B02637g,YALI0B01672g,has_YALI0,1
YALI1B02733g,YALI1_B02733g,YALI0B01771g,has_YALI0,9
YALI1B02806g,YALI1_B02806g,YALI0B01826g,has_YALI0,2
YALI1B02833g,YALI1_B02833g,YALI0B01848g,has_YALI0,2
YALI1B03198g,YALI1_B03198g,YALI0B02178g,has_YALI0,9
YALI1B03314g,YALI1_B03314g,YALI0B02222g,has_YALI0,1
YALI1B03719g,YALI1_B03719g,YALI0B02376g,has_YALI0,2
YALI1B03910g,YALI1_B03910g,YALI0B02544g,has_YALI0,7
YALI1B04138g,YALI1_B04138g,YALI0B02728g,has_YALI0,2
YALI1B04309g,YALI1_B04309g,YALI0B02852g,has_YALI0,1
YALI1B04433g,YALI1_B04433g,YALI0B02948g,has_YALI0,2
YALI1B04589g,YALI1_B04589g,YALI0B03124g,has_YALI0,3
YALI1B04831g,YALI1_B04831g,YALI0B03344g,has_YALI0,2
YALI1B05024g,YALI1_B05024g,YALI0B03564g,has_YALI0,1
YALI1B05072g,YALI1_B05072g,YALI0B03630g,has_YALI0,8
YALI1B05364g,YALI1_B05364g,YALI0B03982g,has_YALI0,1
YALI1B05571g,YALI1_B05571g,YALI0B04180g,has_YALI0,1
YALI1B05609g,YALI1_B05609g,YALI0B04202g,has_YALI0,2
YALI1B05798g,YALI1_B05798g,YALI0B04312g,has_YALI0,1
YALI1B07094g,YALI1_B07094g,YALI0B05126g,has_YALI0,1
YALI1B07366g,YALI1_B07366g,YALI0B05368g,has_YALI0,2
YALI1B07538g,YALI1_B07538g,YALI0B05500g,has_YALI0,2
YALI1B07957g,YALI1_B07957g,YALI0B05918g,has_YALI0,1
YALI1B08123g,YALI1_B08123g,YALI0B06006g,has_YALI0,1
YALI1B08461g,YALI1_B08461g,YALI0B06391g,has_YALI0,1
YALI1B08885g,YALI1_B08885g,YALI0B06831g,has_YALI0,1
YALI1B09025g,YALI1_B09025g,YALI0B06941g,has_YALI0,1
YALI1B09211g,YALI1_B09211g,YALI0B07117g,has_YALI0,3
YALI1B09367g,YALI1_B09367g,YALI0B07359g,has_YALI0,3
YALI1B09592g,YALI1_B09592g,YALI0B07447g,has_YALI0,2
YALI1B10130g,YALI1_B10130g,YALI0B07667g,has_YALI0,1
YALI1B10635g,YALI1_B10635g,YALI0B08140g,has_YALI0,1
YALI1B10813g,YALI1_B10813g,YALI0B08184g,has_YALI0,1
YALI1B11402g,YALI1_B11402g,YALI0B08404g,has_YALI0,1
YALI1B11448g,YALI1_B11448g,YALI0B08448g,has_YALI0,3
YALI1B11532g,YALI1_B11532g,YALI0B08536g,has_YALI0,1
YALI1B12010g,YALI1_B12010g,YALI0B08943g,has_YALI0,1
YALI1B12042g,YALI1_B12042g,YALI0B08965g,has_YALI0,1
YALI1B12489g,YALI1_B12489g,YALI0B09361g,has_YALI0,1
YALI1B12742g,YALI1_B12742g,YALI0B09515g,has_YALI0,1
YALI1B12781g,YALI1_B12781g,YALI0B09537g,has_YALI0,7
YALI1B12966g,YALI1_B12966g,YALI0B09625g,has_YALI0,1
YALI1B12993g,YALI1_B12993g,YALI0B09647g,has_YALI0,4
YALI1B13179g,YALI1_B13179g,YALI0B09845g,has_YALI0,1
YALI1B13948g,YALI1_B13948g,YALI0B10340g,has_YALI0,2
YALI1B14044g,YALI1_B14044g,YALI0B10406g,has_YALI0,11
YALI1B14382g,YALI1_B14382g,YALI0B10736g,has_YALI0,1
YALI1B14733g,YALI1_B14733g,YALI0B11044g,has_YALI0,2
YALI1B14826g,YALI1_B14826g,YALI0B11154g,has_YALI0,2
YALI1B14978g,YALI1_B14978g,YALI0B11286g,has_YALI0,4
YALI1B15015g,YALI1_B15015g,YALI0B11330g,has_YALI0,1
YALI1B15180g,YALI1_B15180g,YALI0B11440g,has_YALI0,1
YALI1B15440g,YALI1_B15440g,YALI0B11616g,has_YALI0,1
YALI1B15733g,YALI1_B15733g,YALI0B11913g,has_YALI0,1
YALI1B15928g,YALI1_B15928g,YALI0B12078g,has_YALI0,1
YALI1B17155g,YALI1_B17155g,YALI0B12980g,has_YALI0,4
YALI1B17838g,YALI1_B17838g,YALI0B13398g,has_YALI0,1
YALI1B17871g,YALI1_B17871g,YALI0B13420g,has_YALI0,2
YALI1B17927g,YALI1_B17927g,YALI0B13464g,has_YALI0,4
YALI1B18012g,YALI1_B18012g,YALI0B13552g,has_YALI0,0
YALI1B18292g,YALI1_B18292g,YALI0B13794g,has_YALI0,1
YALI1B18311g,YALI1_B18311g,YALI0B13816g,has_YALI0,3
YALI1B18499g,YALI1_B18499g,YALI0B13970g,has_YALI0,1
YALI1B18572g,YALI1_B18572g,YALI0B14014g,has_YALI0,6
YALI1B18845g,YALI1_B18845g,YALI0B14289g,has_YALI0,1
YALI1B18955g,YALI1_B18955g,YALI0B14399g,has_YALI0,2
YALI1B19021g,YALI1_B19021g,YALI0B14465g,has_YALI0,1
YALI1B19079g,YALI1_B19079g,YALI0B14509g,has_YALI0,1
YALI1B19107g,YALI1_B19107g,YALI0B14531g,has_YALI0,6
YALI1B19217g,YALI1_B19217g,YALI0B14619g,has_YALI0,3
YALI1B19348g,YALI1_B19348g,YALI0B14729g,has_YALI0,2
YALI1B19490g,YALI1_B19490g,YALI0B14839g,has_YALI0,1
YALI1B19507g,YALI1_B19507g,YALI0B14861g,has_YALI0,3
YALI1B19576g,YALI1_B19576g,YALI0B14927g,has_YALI0,2
YALI1B19844g,YALI1_B19844g,YALI0B15059g,has_YALI0,12
YALI1B19932g,YALI1_B19932g,YALI0B15125g,has_YALI0,1
YALI1B20108g,YALI1_B20108g,YALI0B15268g,has_YALI0,1
YALI1B20153g,YALI1_B20153g,YALI0B15304g,has_YALI0,1
YALI1B20289g,YALI1_B20289g,YALI0B15444g,has_YALI0,1
YALI1B20462g,YALI1_B20462g,YALI0B15598g,has_YALI0,1
YALI1B20527g,YALI1_B20527g,YALI0B15664g,has_YALI0,5
YALI1B20835g,YALI1_B20835g,YALI0B15884g,has_YALI0,5
YALI1B21004g,YALI1_B21004g,YALI0B16038g,has_YALI0,4
YALI1B21070g,YALI1_B21070g,YALI0B16104g,has_YALI0,1
YALI1B21088g,YALI1_B21088g,YALI0B16126g,has_YALI0,2
YALI1B21134g,YALI1_B21134g,YALI0B16192g,has_YALI0,1
YALI1B21155g,YALI1_B21155g,YALI0B16214g,has_YALI0,1
YALI1B21313g,YALI1_B21313g,YALI0B16324g,has_YALI0,1
YALI1B21356g,YALI1_B21356g,YALI0B16390g,has_YALI0,1
YALI1B21538g,YALI1_B21538g,YALI0B16522g,has_YALI0,24
YALI1B21618g,YALI1_B21618g,YALI0B16588g,has_YALI0,1
YALI1B22321g,YALI1_B22321g,YALI0B17138g,has_YALI0,2
YALI1B22375g,YALI1_B22375g,YALI0B17204g,has_YALI0,1
YALI1B22549g,YALI1_B22549g,YALI0B17336g,has_YALI0,1
YALI1B22614g,YALI1_B22614g,YALI0B17402g,has_YALI0,2
YALI1B22820g,YALI1_B22820g,YALI0B17644g,has_YALI0,2
YALI1B22853g,YALI1_B22853g,YALI0B17666g,has_YALI0,2
YALI1B22883g,YALI1_B22883g,YALI0B17688g,has_YALI0,1
YALI1B23017g,YALI1_B23017g,YALI0B17776g,has_YALI0,3
YALI1B23153g,YALI1_B23153g,YALI0B17864g,has_YALI0,1
YALI1B23237g,YALI1_B23237g,YALI0B17930g,has_YALI0,1
YALI1B23300g,YALI1_B23300g,YALI0B17996g,has_YALI0,1
YALI1B23834g,YALI1_B23834g,YALI0B18348g,has_YALI0,1
YALI1B24424g,YALI1_B24424g,YALI0B18759g,has_YALI0,2
YALI1B24638g,YALI1_B24638g,YALI0B18898g,has_YALI0,1
YALI1B25360g,YALI1_B25360g,YALI0B19338g,has_YALI0,5
YALI1B25395g,YALI1_B25395g,YALI0B19360g,has_YALI0,1
YALI1B25427g,YALI1_B25427g,YALI0B19382g,has_YALI0,12
YALI1B25506g,YALI1_B25506g,YALI0B19470g,has_YALI0,4
YALI1B25553g,YALI1_B25553g,YALI0B19492g,has_YALI0,23
YALI1B25906g,YALI1_B25906g,YALI0B19800g,has_YALI0,24
YALI1B26033g,YALI1_B26033g,YALI0B19976g,has_YALI0,1
YALI1B26112g,YALI1_B26112g,YALI0B19998g,has_YALI0,1
YALI1B26153g,YALI1_B26153g,YALI0B20020g,has_YALI0,2
YALI1B26205g,YALI1_B26205g,YALI0B20064g,has_YALI0,2
YALI1B26350g,YALI1_B26350g,YALI0B20196g,has_YALI0,7
YALI1B26679g,YALI1_B26679g,YALI0B20372g,has_YALI0,3
YALI1B26749g,YALI1_B26749g,YALI0B20438g,has_YALI0,1
YALI1B27564g,YALI1_B27564g,YALI0B21142g,has_YALI0,4
YALI1B27645g,YALI1_B27645g,YALI0B21230g,has_YALI0,1
YALI1B27874g,YALI1_B27874g,YALI0B21428g,has_YALI0,1
YALI1B28025g,YALI1_B28025g,YALI0B21527g,has_YALI0,1
YALI1B28349g,YALI1_B28349g,YALI0B21670g,has_YALI0,1
YALI1B28394g,YALI1_B28394g,YALI0B21780g,has_YALI0,3
YALI1B28454g,YALI1_B28454g,YALI0B21846g,has_YALI0,1
YALI1B28659g,YALI1_B28659g,YALI0B22066g,has_YALI0,1
YALI1B29133g,YALI1_B29133g,YALI0B22308g,has_YALI0,4
YALI1B29243g,YALI1_B29243g,YALI0B22440g,has_YALI0,1
YALI1B29419g,YALI1_B29419g,YALI0B22506g,has_YALI0,1
YALI1B29483g,YALI1_B29483g,YALI0B22550g,has_YALI0,1
YALI1B29562g,YALI1_B29562g,YALI0B22682g,has_YALI0,1
YALI1B29867g,YALI1_B29867g,YALI0B22902g,has_YALI0,2
YALI1B29883g,YALI1_B29883g,YALI0B22924g,has_YALI0,5
YALI1B30090g,YALI1_B30090g,YALI0B23188g,has_YALI0,2
YALI1B30181g,YALI1_B30181g,YALI0B23298g,has_YALI0,1
YALI1B30275g,YALI1_B30275g,YALI0B23430g,has_YALI0,3
YALI1C00230g,YALI1_C00230g,YALI0C00209g,has_YALI0,4
YALI1C00293g,YALI1_C00293g,YALI0C00253g,has_YALI0,3
YALI1C00464g,YALI1_C00464g,YALI0C00407g,has_YALI0,1
YALI1C00550g,YALI1_C00550g,YALI0C00451g,has_YALI0,10
YALI1C00694g,YALI1_C00694g,YALI0C00495g,has_YALI0,3
YALI1C00826g,YALI1_C00826g,YALI0C00627g,has_YALI0,1
YALI1C00999g,YALI1_C00999g,YALI0C00759g,has_YALI0,1
YALI1C01129g,YALI1_C01129g,YALI0C00847g,has_YALI0,3
YALI1C01520g,YALI1_C01520g,YALI0C01111g,has_YALI0,1
YALI1C01944g,YALI1_C01944g,YALI0C01411g,has_YALI0,1
YALI1C01965g,YALI1_C01965g,YALI0C01419g,has_YALI0,1
YALI1C02391g,YALI1_C02391g,YALI0C01716g,has_YALI0,1
YALI1C02550g,YALI1_C02550g,YALI0C01859g,has_YALI0,3
YALI1C03415g,YALI1_C03415g,YALI0C02431g,has_YALI0,1
YALI1C03848g,YALI1_C03848g,YALI0C02783g,has_YALI0,1
YALI1C04067g,YALI1_C04067g,YALI0C03003g,has_YALI0,2
YALI1C04093g,YALI1_C04093g,YALI0C03025g,has_YALI0,14
YALI1C04265g,YALI1_C04265g,YALI0C03179g,has_YALI0,1
YALI1C04281g,YALI1_C04281g,YALI0C03201g,has_YALI0,3
YALI1C04798g,YALI1_C04798g,YALI0C03608g,has_YALI0,3
YALI1C04882g,YALI1_C04882g,YALI0C03674g,has_YALI0,1
YALI1C05386g,YALI1_C05386g,YALI0C04092g,has_YALI0,10
YALI1C05570g,YALI1_C05570g,YALI0C04180g,has_YALI0,2
YALI1C05908g,YALI1_C05908g,YALI0C04433g,has_YALI0,1
YALI1C05972g,YALI1_C05972g,YALI0C04477g,has_YALI0,3
YALI1C06006g,YALI1_C06006g,YALI0C04499g,has_YALI0,3
YALI1C06222g,YALI1_C06222g,YALI0C04730g,has_YALI0,2
YALI1C06626g,YALI1_C06626g,YALI0C05170g,has_YALI0,1
YALI1C06681g,YALI1_C06681g,YALI0C05258g,has_YALI0,3
YALI1C06951g,YALI1_C06951g,YALI0C05467g,has_YALI0,2
YALI1C07360g,YALI1_C07360g,YALI0C05709g,has_YALI0,1
YALI1C07423g,YALI1_C07423g,YALI0C05753g,has_YALI0,1
YALI1C07638g,YALI1_C07638g,YALI0C05951g,has_YALI0,3
YALI1C07816g,YALI1_C07816g,YALI0C06083g,has_YALI0,1
YALI1C08017g,YALI1_C08017g,YALI0C06171g,has_YALI0,1
YALI1C08173g,YALI1_C08173g,YALI0C06281g,has_YALI0,1
YALI1C08197g,YALI1_C08197g,YALI0C06303g,has_YALI0,1
YALI1C08262g,YALI1_C08262g,YALI0C06369g,has_YALI0,1
YALI1C08523g,YALI1_C08523g,YALI0C06424g,has_YALI0,1
YALI1C08548g,YALI1_C08548g,YALI0C06446g,has_YALI0,1
YALI1C08702g,YALI1_C08702g,YALI0C06490g,has_YALI0,1
YALI1C09033g,YALI1_C09033g,YALI0C06776g,has_YALI0,2
YALI1C09072g,YALI1_C09072g,YALI0C06798g,has_YALI0,1
YALI1C09285g,YALI1_C09285g,YALI0C06930g,has_YALI0,3
YALI1C09308g,YALI1_C09308g,YALI0C06952g,has_YALI0,2
YALI1C09380g,YALI1_C09380g,YALI0C06996g,has_YALI0,1
YALI1C09467g,YALI1_C09467g,YALI0C07128g,has_YALI0,1
YALI1C09773g,YALI1_C09773g,YALI0C07414g,has_YALI0,2
YALI1C10232g,YALI1_C10232g,YALI0C07678g,has_YALI0,3
YALI1C10293g,YALI1_C10293g,YALI0C07722g,has_YALI0,3
YALI1C10762g,YALI1_C10762g,YALI0C08074g,has_YALI0,1
YALI1C11773g,YALI1_C11773g,YALI0C08569g,has_YALI0,1
YALI1C12024g,YALI1_C12024g,YALI0C08811g,has_YALI0,1
YALI1C12220g,YALI1_C12220g,YALI0C08943g,has_YALI0,1
YALI1C12619g,YALI1_C12619g,YALI0C09119g,has_YALI0,3
YALI1C13355g,YALI1_C13355g,YALI0C09636g,has_YALI0,2
YALI1C13768g,YALI1_C13768g,YALI0C09889g,has_YALI0,24
YALI1C15048g,YALI1_C15048g,YALI0C10670g,has_YALI0,3
YALI1C15180g,YALI1_C15180g,YALI0C10780g,has_YALI0,1
YALI1C15297g,YALI1_C15297g,YALI0C10901g,has_YALI0,1
YALI1C15420g,YALI1_C15420g,YALI0C10989g,has_YALI0,2
YALI1C15526g,YALI1_C15526g,YALI0C11099g,has_YALI0,1
YALI1C15945g,YALI1_C15945g,YALI0C11363g,has_YALI0,3
YALI1C15991g,YALI1_C15991g,YALI0C11407g,has_YALI0,3
YALI1C16485g,YALI1_C16485g,YALI0C11803g,has_YALI0,2
YALI1C16621g,YALI1_C16621g,YALI0C11880g,has_YALI0,1
YALI1C16932g,YALI1_C16932g,YALI0C12056g,has_YALI0,1
YALI1C17100g,YALI1_C17100g,YALI0C12210g,has_YALI0,1
YALI1C17932g,YALI1_C17932g,YALI0C12749g,has_YALI0,1
YALI1C17947g,YALI1_C17947g,YALI0C12771g,has_YALI0,4
YALI1C18258g,YALI1_C18258g,YALI0C13090g,has_YALI0,1
YALI1C18590g,YALI1_C18590g,YALI0C13354g,has_YALI0,1
YALI1C18771g,YALI1_C18771g,YALI0C13508g,has_YALI0,3
YALI1C18872g,YALI1_C18872g,YALI0C13574g,has_YALI0,1
YALI1C19814g,YALI1_C19814g,YALI0C14036g,has_YALI0,1
YALI1C19943g,YALI1_C19943g,YALI0C14190g,has_YALI0,1
YALI1C20054g,YALI1_C20054g,YALI0C14344g,has_YALI0,1
YALI1C20198g,YALI1_C20198g,YALI0C14498g,has_YALI0,1
YALI1C20224g,YALI1_C20224g,YALI0C14520g,has_YALI0,1
YALI1C21487g,YALI1_C21487g,YALI0C15224g,has_YALI0,1
YALI1C21946g,YALI1_C21946g,YALI0C15488g,has_YALI0,4
YALI1C22186g,YALI1_C22186g,YALI0C15554g,has_YALI0,2
YALI1C22751g,YALI1_C22751g,YALI0C15807g,has_YALI0,2
YALI1C23511g,YALI1_C23511g,YALI0C16434g,has_YALI0,3
YALI1C23601g,YALI1_C23601g,YALI0C16522g,has_YALI0,2
YALI1C23902g,YALI1_C23902g,YALI0C16753g,has_YALI0,1
YALI1C24124g,YALI1_C24124g,YALI0C16885g,has_YALI0,2
YALI1C24165g,YALI1_C24165g,YALI0C16907g,has_YALI0,1
YALI1C24367g,YALI1_C24367g,YALI0C16995g,has_YALI0,1
YALI1C24488g,YALI1_C24488g,YALI0C17105g,has_YALI0,3
YALI1C24567g,YALI1_C24567g,YALI0C17237g,has_YALI0,23
YALI1C24611g,YALI1_C24611g,YALI0C17281g,has_YALI0,1
YALI1C24647g,YALI1_C24647g,YALI0C17303g,has_YALI0,1
YALI1C25029g,YALI1_C25029g,YALI0C17831g,has_YALI0,1
YALI1C25093g,YALI1_C25093g,YALI0C17941g,has_YALI0,2
YALI1C25190g,YALI1_C25190g,YALI0C18051g,has_YALI0,1
YALI1C25352g,YALI1_C25352g,YALI0C18205g,has_YALI0,5
YALI1C25512g,YALI1_C25512g,YALI0C18315g,has_YALI0,3
YALI1C25598g,YALI1_C25598g,YALI0C18425g,has_YALI0,1
YALI1C25782g,YALI1_C25782g,YALI0C18535g,has_YALI0,1
YALI1C26017g,YALI1_C26017g,YALI0C18755g,has_YALI0,1
YALI1C26036g,YALI1_C26036g,YALI0C18799g,has_YALI0,20
YALI1C26276g,YALI1_C26276g,YALI0C19085g,has_YALI0,1
YALI1C26544g,YALI1_C26544g,YALI0C19195g,has_YALI0,1
YALI1C26939g,YALI1_C26939g,YALI0C19624g,has_YALI0,5
YALI1C27061g,YALI1_C27061g,YALI0C19712g,has_YALI0,11
YALI1C27229g,YALI1_C27229g,YALI0C19866g,has_YALI0,7
YALI1C27933g,YALI1_C27933g,YALI0C19965g,has_YALI0,6
YALI1C28310g,YALI1_C28310g,YALI0C20265g,has_YALI0,7
YALI1C28479g,YALI1_C28479g,YALI0C20405g,has_YALI0,1
YALI1C28497g,YALI1_C28497g,YALI0C20427g,has_YALI0,1
YALI1C28621g,YALI1_C28621g,YALI0C20669g,has_YALI0,2
YALI1C29104g,YALI1_C29104g,YALI0C21065g,has_YALI0,1
YALI1C29538g,YALI1_C29538g,YALI0C21406g,has_YALI0,4
YALI1C29920g,YALI1_C29920g,YALI0C21626g,has_YALI0,1
YALI1C30440g,YALI1_C30440g,YALI0C22088g,has_YALI0,1
YALI1C30514g,YALI1_C30514g,YALI0C22165g,has_YALI0,2
YALI1C31122g,YALI1_C31122g,YALI0C22616g,has_YALI0,1
YALI1C31510g,YALI1_C31510g,YALI0C22792g,has_YALI0,3
YALI1C32031g,YALI1_C32031g,YALI0C23210g,has_YALI0,2
YALI1C32119g,YALI1_C32119g,YALI0C23298g,has_YALI0,1
YALI1C32156g,YALI1_C32156g,YALI0C23342g,has_YALI0,1
YALI1C32184g,YALI1_C32184g,YALI0C23364g,has_YALI0,1
YALI1C32276g,YALI1_C32276g,YALI0C23408g,has_YALI0,2
YALI1C32609g,YALI1_C32609g,YALI0C23617g,has_YALI0,1
YALI1C32810g,YALI1_C32810g,YALI0C23793g,has_YALI0,1
YALI1C32886g,YALI1_C32886g,YALI0C23859g,has_YALI0,13
YALI1C33005g,YALI1_C33005g,YALI0C23969g,has_YALI0,2
YALI1C33152g,YALI1_C33152g,YALI0C24101g,has_YALI0,1
YALI1C33270g,YALI1_C33270g,YALI0C24233g,has_YALI0,1
YALI1C33299g,YALI1_C33299g,YALI0C24255g,has_YALI0,1
YALI1C33406g,YALI1_C33406g,YALI0C24354g,has_YALI0,1
YALI1C353g,YALI1_C353g,YALI0C00319g,has_YALI0,1
YALI1D00094g,YALI1_D00094g,YALI0D00132g,has_YALI0,1
YALI1D00376g,YALI1_D00376g,YALI0D00363g,has_YALI0,1
YALI1D00515g,YALI1_D00515g,YALI0D00495g,has_YALI0,3
YALI1D00581g,YALI1_D00581g,YALI0D00583g,has_YALI0,2
YALI1D00614g,YALI1_D00614g,YALI0D00605g,has_YALI0,3
YALI1D00766g,YALI1_D00766g,YALI0D00737g,has_YALI0,3
YALI1D01188g,YALI1_D01188g,YALI0D01089g,has_YALI0,1
YALI1D01234g,YALI1_D01234g,YALI0D01111g,has_YALI0,2
YALI1D01431g,YALI1_D01431g,YALI0D01265g,has_YALI0,8
YALI1D01489g,YALI1_D01489g,YALI0D01309g,has_YALI0,1
YALI1D02000g,YALI1_D02000g,YALI0D01694g,has_YALI0,2
YALI1D02041g,YALI1_D02041g,YALI0D01738g,has_YALI0,1
YALI1D02416g,YALI1_D02416g,YALI0D02145g,has_YALI0,1
