yali1,yali0,ec,candidate_mnxr,reaction_status,ec_already_in_model
YALI1_B13699g,YALI0B10153g,1.14.19.22;1.14.19.6,MNXR114347;MNXR116130;MNXR122256;MNXR122258;MNXR122260;MNXR122263;MNXR122264;MNXR122266;MNXR122284;MNXR122900;MNXR122932;MNXR150983;MNXR150984;MNXR166432;MNXR168612;MNXR168851;MNXR177513;MNXR177542;MNXR184127;MNXR186108,new_reaction,
YALI1_B16158g,YALI0B12298g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_B16477g,YALI0B12518g,2.4.1.232,MNXR110700;MNXR112120;MNXR115132;MNXR164128;MNXR174121,new_reaction,
YALI1_B19520g,YALI0B14883g,2.1.1.354,MNXR145480;MNXR148430;MNXR149012;MNXR164961;MNXR171471,new_reaction,
YALI1_B20935g,YALI0B15972g,3.1.4.50,MNXR110401;MNXR115948;MNXR135503;MNXR149904;MNXR149905;MNXR165430;MNXR175496;MNXR191254;MNXR191255,new_reaction,
YALI1_B21423g,YALI0B16434g,2.4.99.18,MNXR109968;MNXR120360;MNXR148603;MNXR148604;MNXR166248;MNXR169489;MNXR174068;MNXR196453,new_reaction,
YALI1_B22410g,YALI0B17226g,2.4.1.256,MNXR110098;MNXR166588;MNXR176890;MNXR197059;MNXR197060,new_reaction,
YALI1_B24564g,YALI0B18854g,3.1.1.23,MNXR103699;MNXR115239;MNXR119135;MNXR147266;MNXR147268;MNXR147269;MNXR147270;MNXR147271;MNXR174232;MNXR196844,new_reaction,
YALI1_B25107g,YALI0B19162g,4.4.1.36,MNXR118681;MNXR121397;MNXR139833;MNXR163512;MNXR168203;MNXR194977,new_reaction,
YALI1_B26639g,YALI0B20328g,2.3.1.36,MNXR107364;MNXR108513;MNXR175389,new_reaction,
YALI1_B30024g,YALI0B23100g,4.1.2.53,MNXR107415,new_reaction,
YALI1_C01356g,YALI0C00979g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_C03495g,YALI0C02475g,2.4.1.260,MNXR110094;MNXR166586;MNXR197051;MNXR197052,new_reaction,
YALI1_C11521g,YALI0C08393g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_C13261g,YALI0C09570g,5.1.3.3,MNXR107082;MNXR113944;MNXR133975;MNXR134006;MNXR134009;MNXR134013;MNXR134274;MNXR153746;MNXR192212;MNXR198308;MNXR198309,new_reaction,
YALI1_C14884g,YALI0C10604g,1.14.11.8,MNXR104899;MNXR184521,new_reaction,
YALI1_C18011g,YALI0C12918g,4.4.1.17,MNXR115964;MNXR144577;MNXR151699;MNXR151700;MNXR166223;MNXR175510;MNXR185611,new_reaction,
YALI1_C19794g,YALI0C14014g,2.3.1.51,MNXR114877;MNXR119101;MNXR119783;MNXR119788;MNXR119814;MNXR119815;MNXR119824;MNXR119825;MNXR119864;MNXR120575;MNXR120578;MNXR120579;MNXR120580;MNXR120581;MNXR120586;MNXR120589;MNXR120590;MNXR121123;MNXR123275;MNXR123328;MNXR135724;MNXR135725;MNXR135726;MNXR135727;MNXR135728;MNXR135729;MNXR136208;MNXR136209;MNXR136210;MNXR136211;MNXR136212;MNXR136213;MNXR136214;MNXR136215;MNXR140647;MNXR144546;MNXR144729;MNXR147577;MNXR147578;MNXR147798;MNXR147799;MNXR150525;MNXR150526;MNXR151276;MNXR151277;MNXR151278;MNXR151279;MNXR164868;MNXR164912;MNXR166040;MNXR167101;MNXR167105;MNXR167310;MNXR172667;MNXR173897;MNXR176722;MNXR177714;MNXR177749;MNXR178626;MNXR180433;MNXR180434;MNXR180435;MNXR180436;MNXR180437;MNXR180439;MNXR180441;MNXR182238;MNXR183578;MNXR190332;MNXR191654;MNXR191656;MNXR191925;MNXR195040;MNXR195041;MNXR195042;MNXR195043;MNXR195044;MNXR195045;MNXR195046;MNXR195052;MNXR95558;MNXR95559;MNXR95560;MNXR95561;MNXR95564;MNXR95565;MNXR95567,new_reaction,
YALI1_C25171g,YALI0C18029g,1.13.11.59,MNXR113186,new_reaction,
YALI1_C26167g,YALI0C19041g,2.8.1.7,MNXR111094;MNXR114822;MNXR117647;MNXR118656;MNXR119682;MNXR122991;MNXR131438;MNXR135557;MNXR164558;MNXR168426;MNXR176458;MNXR177585;MNXR178225;MNXR193220;MNXR193226;MNXR199483;MNXR199485;MNXR200588,new_reaction,
YALI1_C26959g,YALI0C19646g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_C26975g,YALI0C19668g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_C30320g,YALI0C22000g,4.2.1.130,MNXR100354,new_reaction,
YALI1_C31830g,YALI0C23034g,2.3.1.286,MNXR113957;MNXR113958;MNXR119084;MNXR123376;MNXR168371;MNXR195037;MNXR200670,new_reaction,
YALI1_C31918g,YALI0C23122g,3.7.1.5,MNXR146957;MNXR146958;MNXR146959;MNXR153628;MNXR153629;MNXR165993;MNXR175263;MNXR195616,new_reaction,
YALI1_D00173g,YALI0D00176g,2.3.1.176,MNXR111520;MNXR111536;MNXR117708;MNXR146395;MNXR178070;MNXR188833;MNXR189183,new_reaction,
YALI1_D05375g,YALI0D04312g,1.1.99.2,MNXR111769;MNXR114634;MNXR115023;MNXR166619;MNXR170869;MNXR189088;MNXR189089;MNXR189440;MNXR189441;MNXR192596,new_reaction,
YALI1_D09055g,YALI0D07084g,5.1.3.15,MNXR153713;MNXR191107,new_reaction,
YALI1_D09215g,YALI0D07238g,2.1.1.22,MNXR197833;MNXR197834,new_reaction,
YALI1_D14489g,YALI0D11660g,4.2.1.70,MNXR198505;MNXR198506,new_reaction,
YALI1_D18408g,YALI0D15114g,2.7.1.47,MNXR197754;MNXR197755;MNXR197758,new_reaction,
YALI1_D19039g,YALI0D15532g,4.3.1.18,MNXR104338;MNXR131145;MNXR147143;MNXR149436;MNXR149437,new_reaction,
YALI1_D20651g,YALI0D16687g,2.3.1.286;2.3.1.313,MNXR113957;MNXR113958;MNXR119084;MNXR123376;MNXR168371;MNXR195037;MNXR199221;MNXR199681;MNXR200670;MNXR200804,new_reaction,
YALI1_D20985g,YALI0D17028g,2.4.1.267,MNXR110096;MNXR166672;MNXR197055;MNXR197056,new_reaction,
YALI1_D21424g,YALI0D17424g,3.2.1.209,MNXR110483;MNXR163864;MNXR170619;MNXR184850,new_reaction,
YALI1_D24054g,YALI0D18964g,1.1.1.289,MNXR111009;MNXR114895,new_reaction,
YALI1_D25472g,YALI0D20174g,3.2.1.113,MNXR133840;MNXR135098;MNXR163866;MNXR170620;MNXR170625;MNXR172196;MNXR174315;MNXR179726;MNXR183622;MNXR184150;MNXR184915;MNXR185081;MNXR185505;MNXR186135;MNXR186871;MNXR187469;MNXR187578,new_reaction,
YALI1_D27385g,YALI0D21684g,2.1.1.354,MNXR145480;MNXR148430;MNXR149012;MNXR164961;MNXR171471,new_reaction,
YALI1_D27637g,YALI0D21890g,3.2.1.24,MNXR112230;MNXR112231;MNXR115364;MNXR134060;MNXR174349;MNXR183953;MNXR184404;MNXR199311;MNXR200229;MNXR200231,new_reaction,
YALI1_D33504g,YALI0D25256g,1.1.1.26,MNXR100325;MNXR100331;MNXR100332,new_reaction,
YALI1_E03846g,YALI0E03190g,2.4.1.258,MNXR110092;MNXR121811;MNXR166584,new_reaction,
YALI1_E06441g,YALI0E05533g,2.3.1.306,MNXR106539,new_reaction,
YALI1_E07508g,YALI0E06215g,4.4.1.17,MNXR115964;MNXR144577;MNXR151699;MNXR151700;MNXR166223;MNXR175510;MNXR185611,new_reaction,
YALI1_E08861g,YALI0E07447g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_E09357g,YALI0E07788g,1.3.1.22;1.3.1.94,MNXR104531;MNXR107614;MNXR107805;MNXR111068;MNXR111082;MNXR112444;MNXR114979;MNXR123089;MNXR146460;MNXR147561;MNXR163764;MNXR166958;MNXR172362;MNXR172363;MNXR193579;MNXR193597;MNXR193598;MNXR193600;MNXR193602;MNXR196623;MNXR199238;MNXR199571;MNXR203222,new_reaction,
YALI1_E11402g,YALI0E09262g,4.4.1.36,MNXR118681;MNXR121397;MNXR139833;MNXR163512;MNXR168203;MNXR194977,new_reaction,
YALI1_E12561g,YALI0E09999g,2.3.1.271,MNXR169170;MNXR186754,new_reaction,
YALI1_E13472g,YALI0E10571g,2.8.1.8,MNXR111355;MNXR119029;MNXR119035;MNXR119037;MNXR123419;MNXR135636;MNXR144610;MNXR144908;MNXR163831;MNXR163832;MNXR165815;MNXR177769;MNXR178082,new_reaction,
YALI1_E14762g,YALI0E11979g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_E15229g,YALI0E12309g,3.4.24.84,MNXR113246;MNXR117100;MNXR173850;MNXR176144;MNXR186409,new_reaction,
YALI1_E15398g,YALI0E12419g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_E15835g,YALI0E12859g,6.2.1.8,MNXR102232,new_reaction,
YALI1_E17389g,YALI0E14366g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_E20544g,YALI0E17281g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_E21962g,YALI0E18260g,2.1.1.359,MNXR164964;MNXR171487,new_reaction,
YALI1_E23994g,YALI0E20185g,3.2.1.52,MNXR111394;MNXR111395;MNXR112753;MNXR114146;MNXR114614;MNXR114615;MNXR115380;MNXR117665;MNXR130384;MNXR130401;MNXR133540;MNXR134054;MNXR134062;MNXR135447;MNXR135475;MNXR138034;MNXR148199;MNXR148200;MNXR148201;MNXR148586;MNXR148587;MNXR148588;MNXR148821;MNXR148822;MNXR148823;MNXR152917;MNXR152918;MNXR172242;MNXR173039;MNXR173074;MNXR173336;MNXR173393;MNXR174363;MNXR176108;MNXR179752;MNXR179753;MNXR180964;MNXR180969;MNXR184077;MNXR190172;MNXR193125;MNXR197206;MNXR197207;MNXR198355;MNXR199098;MNXR199413;MNXR199426,new_reaction,
YALI1_E24201g,YALI0E20405g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_E24618g,YALI0E20735g,1.4.3.3,MNXR100352;MNXR106448;MNXR107807;MNXR108742;MNXR111049;MNXR122163;MNXR130695;MNXR132757;MNXR132759;MNXR133445;MNXR133446;MNXR133692;MNXR133809;MNXR133825;MNXR133833;MNXR133935;MNXR133936;MNXR144433;MNXR147251;MNXR147252;MNXR149434;MNXR149435;MNXR154806;MNXR166170;MNXR172580;MNXR172745;MNXR172748;MNXR175390;MNXR198918;MNXR97134;MNXR97150;MNXR97759,new_reaction,
YALI1_E24762g,YALI0E20845g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_E25812g,YALI0E21802g,2.1.1.362,MNXR164954;MNXR171493,new_reaction,
YALI1_E26872g,YALI0E22715g,2.1.1.360,MNXR164965;MNXR171488,new_reaction,
YALI1_E27077g,YALI0E22913g,2.1.1.100,MNXR115033;MNXR131131;MNXR131132;MNXR131133;MNXR131134;MNXR131135;MNXR131136;MNXR131137;MNXR131143;MNXR131144;MNXR131240;MNXR131241;MNXR131242;MNXR148770;MNXR148771;MNXR166160;MNXR174003,new_reaction,
YALI1_E31498g,YALI0E26565g,2.7.8.1,MNXR111041;MNXR115867;MNXR121124;MNXR136164;MNXR136421;MNXR143270;MNXR149034;MNXR149035;MNXR149543;MNXR149544;MNXR153165;MNXR153166;MNXR153167;MNXR153168;MNXR166809;MNXR167149;MNXR175429;MNXR190408,new_reaction,
YALI1_E33599g,YALI0E28446g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_E34238g,YALI0E28941g,2.4.1.259;2.4.1.261,MNXR110093;MNXR110095;MNXR121812;MNXR166585;MNXR166587;MNXR197053;MNXR197054,new_reaction,
YALI1_E37264g,YALI0E31581g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_E40915g,YALI0E34485g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_F01078g,YALI0F00682g,4.2.1.130,MNXR100354,new_reaction,
YALI1_F09720g,YALI0F06556g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_F13875g,YALI0F10197g,1.4.3.3,MNXR100352;MNXR106448;MNXR107807;MNXR108742;MNXR111049;MNXR122163;MNXR130695;MNXR132757;MNXR132759;MNXR133445;MNXR133446;MNXR133692;MNXR133809;MNXR133825;MNXR133833;MNXR133935;MNXR133936;MNXR144433;MNXR147251;MNXR147252;MNXR149434;MNXR149435;MNXR154806;MNXR166170;MNXR172580;MNXR172745;MNXR172748;MNXR175390;MNXR198918;MNXR97134;MNXR97150;MNXR97759,new_reaction,
YALI1_F14688g,YALI0F11033g,3.4.24.84,MNXR113246;MNXR117100;MNXR173850;MNXR176144;MNXR186409,new_reaction,
YALI1_F16856g,YALI0F12595g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_F19007g,YALI0F14135g,3.1.2.22,MNXR112123;MNXR115259;MNXR146771;MNXR147395;MNXR147396;MNXR166009;MNXR174252;MNXR180668;MNXR190984;MNXR190986;MNXR190988,new_reaction,
YALI1_F19899g,YALI0F14927g,3.2.1.106,MNXR109970;MNXR115318;MNXR170615;MNXR174311;MNXR179725,new_reaction,
YALI1_F26620g,YALI0F19998g,4.2.1.96,MNXR104802;MNXR118398;MNXR143331;MNXR144871;MNXR186629,new_reaction,
YALI1_F26726g,YALI0F20108g,2.5.1.87,MNXR123087;MNXR153395;MNXR173436;MNXR176234;MNXR193182,new_reaction,
YALI1_F33572g,YALI0F26103g,4.3.2.7,MNXR169084,new_reaction,
