claim_id	strand	claim_text	source_ids	evidence_direction	evidence_type	species	strain	conditions	exact_locator	directness	epistemic_status	confidence	auditor_verdict	audit_notes
CLM-DM-001	demand	Yarrowia lipolytica contains a nonzero intracellular or mitochondrial CoQ9 pool.	SRC-QC-001;SRC-QC-002;SRC-QD-001;SRC-QD-002	support	extraction; HPLC; mass spectrometry; cryo-EM	Yarrowia lipolytica and historical synonym	multiple	separated	Yamada Table 2; Kogan abstract; Drose Fig.1; Parey Q quantitation	direct_species	qualified_supported	strong	supported	Independent extraction/HPLC/MS/cryo-EM evidence establishes a nonzero Q9 pool or association; it does not supply a target-condition biomass coefficient.
CLM-DM-002	demand	PO1f SD-Leu fitness effects at COQ1 and COQ2 candidate loci are consistent with CoQ-pathway relevance but do not alone establish a pathway-specific growth requirement.	SRC-QD-003;SRC-QD-004;SRC-QD-005	support	CRISPR-Cas9; CRISPR-Cas12a; transposon consensus	Yarrowia lipolytica	PO1f	SD-Leu/glucose	Schwartz supplements; Patterson dataset; Ramesh consensus table	direct_condition_matched	consistent_but_not_pathway_specific	medium	supported	Ramesh 2023 directly verifies PO1f SD-Leu conditions and multi-screen consensus, with nuclease discordance; candidate-locus fitness remains non-biochemical and non-quantitative.
CLM-DM-003	demand	All candidate COQ genes are equally essential under PO1f screening conditions.	SRC-QD-003;SRC-QD-005	challenge	platform-comparison essentiality	Yarrowia lipolytica	PO1f	SD-Leu/glucose	COQ1/2/3 rows in public essentiality tables	direct_condition_matched	not_supported	medium	contradicted	The COQ3 candidate is nonessential in both reported CRISPR datasets and absent from the >=2/3 consensus; mechanism is unresolved.
CLM-DM-004	demand	CoQ primarily functions as a shared, cycling electron carrier rather than being net-consumed in proportion to respiratory flux.	SRC-QD-006;SRC-QD-007;SRC-QD-008	support	respiratory topology and growth-phase biochemistry	Yarrowia lipolytica	multiple laboratory strains	mitochondrial respiration; log/stationary comparison	Kerscher Results; Guerrero-Castillo 2009 and 2012 Results	direct_species	qualified_supported	strong	supported	Respiratory studies support Q/QH2 cycling among multiple entry and exit branches; finite-pool dilution or degradation remains a separate issue.
CLM-DM-005	demand	A fixed Q9-per-complex-I stoichiometry is supported for enzyme-pool coupling.	SRC-QC-002;SRC-QD-002	challenge	purified-complex occupancy comparison	Yarrowia lipolytica	PIPO; GB30 delta-ST1	different purification conditions	0.2-0.4 versus 1.9 mol Q9/mol CI	direct_but_preparation_dependent	not_supported	medium_strong	contradicted	Q9 occupancy varies across strains, constructs, preparations, detergents, and assays, and soluble quinone can restore activity; no fixed prosthetic coefficient follows.
CLM-DM-006A	demand	For a finite intracellular CoQ pool maintained at concentration cQ, growth-coupled dilution is represented by vQ >= mu*cQ.	SRC-QC-001;SRC-QC-002;SRC-QD-002	support	mass-balance inference grounded in a nonzero physical pool	Yarrowia lipolytica	multiple	separated	physical-pool observations plus derivation in review_report.md	conceptual_mass_balance	qualified_supported	medium	supported	This is a finite-pool mass-balance concept, not a measured Yarrowia rate law or a numerical coefficient.
CLM-DM-006B	demand	Current evidence supplies a condition-matched cQ in mmol CoQ9 per gDCW for W29 or PO1f in SD-Leu.	SRC-QD-001;SRC-QC-004	challenge	bounded quantitative search	Yarrowia lipolytica and historical synonym	unreported; ATCC 20362	conditions and denominators unmatched	Kogan bibliographic record; patent Example 2	none_condition_matched	not_supported	low	unsupported	Kogan's denominator is unverified and the patent value is oil-normalized; neither calibrates W29/PO1f SD-Leu cQ.
CLM-DM-007	demand	Yarrowia-specific CoQ9 turnover, half-life, or non-growth replacement flux is available to parameterize vQ >= (mu+kdeg)*cQ.	SRC-QD-001;SRC-QD-008	challenge	bounded negative search	Yarrowia lipolytica	multiple	turnover-targeted searches	search log and source limitations	none_found	unresolved	low	unverified	No Yarrowia CoQ9 half-life, degradation rate, or non-growth replacement flux was located; this is not evidence that turnover is zero.
CLM-DM-008	demand	A single growth-stage-independent CoQ demand coefficient is directly supported.	SRC-QD-007;SRC-QD-008	challenge	growth-phase respiratory comparison	Yarrowia lipolytica	laboratory strain	log versus stationary	Guerrero-Castillo Results	direct_species	not_supported	medium	unsupported	Growth-stage respiratory routing changes, but total Q pool was not measured; no stage-independent demand coefficient is directly supported.
CLM-DM-009	demand	In the frozen model context, the retained R407-R385 quinone route and R2243-R2246 have FVA intervals of [0,0] because no effective terminal net demand is present.	SRC-LOCAL-001	support	direct model inspection and FVA	Yarrowia lipolytica	modeled background	frozen 2026-08-06 context	input_snapshot.md frozen topology and FVA results	direct_model_observation	qualified_supported	high_for_model_fact	supported	This is a context-bound simulation observation, not evidence of biological zero demand.
CLM-GR-001A	gpr	YALI1F08349g maps to YALI0_F05610g, YALI2_F00880g, NCBI Gene 2907969, RefSeq XP_505040.1, and UniProt Q6C2S2.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ2 catalytic function remains a separate candidate claim.
CLM-GR-001B	gpr	YALI1F34625g maps to YALI0_F27247g, YALI2_E00964g, NCBI Gene 2907824, RefSeq XP_505938.1, and UniProt Q6C074.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ4 catalytic function remains a separate candidate claim.
CLM-GR-001C	gpr	YALI1B20527g maps to YALI0_B15664g, YALI2_C00441g, NCBI Gene 2906959, RefSeq XP_500941.1, and UniProt Q6CEH1.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	The crosswalk is supported, but Q6CEH1 does not explicitly carry a COQ8 gene name; functional assignment remains provisional.
CLM-GR-001D	gpr	YALI1A08781g maps to YALI0_A09042g, YALI2_A00555g, NCBI Gene 2906060, RefSeq XP_499891.1, and UniProt F2Z6J4.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ6 catalytic function remains a separate candidate claim.
CLM-GR-001E	gpr	YALI1F34675g maps to YALI0_F27313g, YALI2_E00771g, NCBI Gene 2907842, RefSeq XP_505941.3, and UniProt Q6C071.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	The crosswalk is supported, but Q6C071 lacks an explicit COQ9 gene name; functional assignment remains provisional.
CLM-GR-001F	gpr	YALI1C25352g maps to YALI0_C18205g, YALI2_B00452g, NCBI Gene 2909994, RefSeq XP_501966.1, and UniProt Q6CBJ6.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ5 catalytic function remains a separate candidate claim.
CLM-GR-001G	gpr	YALI1B20835g maps to YALI0_B15884g, YALI2_C00448g, NCBI Gene 2907025, RefSeq XP_500950.3, and UniProt Q6CEG2.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ3 catalytic function remains a separate candidate claim.
CLM-GR-001H	gpr	YALI1E18269g maps to YALI0_E15224g, YALI2_E01456g, NCBI Gene 2911989, RefSeq XP_503973.1, and UniProt Q6C5T9.	SRC-DB-001;SRC-DB-002	support	identifier crosswalk	Yarrowia lipolytica	CLIB122/reference assemblies	database state on 2026-08-06	individual KEGG and UniProt records	identity_provenance	qualified_supported	high	supported	This establishes a locus crosswalk; COQ7 catalytic function remains a separate candidate claim.
CLM-GR-002	gpr	YALI1F08349g - COQ2 candidate - is consistent with R407 4-hydroxybenzoate polyprenyltransferase chemistry.	SRC-DB-001;SRC-DB-002	support	protein-family and EC annotation	Yarrowia lipolytica	CLIB122/reference	annotation	K06125; Q6C2S2	orthology_family	provisional	medium	partially_supported	COQ2/UbiA family chemistry is consistent with R407, but no native Yarrowia locus biochemistry exists and the hexaprenyl label conflicts with CoQ9 evidence.
CLM-GR-003	gpr	YALI1B20835g - COQ3 candidate - is the step-specific candidate for both O-methylations R715 and R385.	SRC-GR-001;SRC-DB-002	support	comparative functional study plus Yarrowia family annotation	Saccharomyces cerevisiae; Yarrowia lipolytica	coq3 mutant; annotated Yl locus	separated	Hsu Abstract/Results; Q6CEG2	comparative_step_function	provisional_for_yarrowia	medium	partially_supported	Comparative Coq3/UbiG experiments support two O-methylations and nominate R715/R385; native Yarrowia function is unverified.
CLM-GR-004	gpr	YALI1C25352g - COQ5 candidate - is the step-specific candidate for R18 C-methylation.	SRC-GR-002;SRC-DB-002	support	comparative biochemistry plus Yarrowia family annotation	Saccharomyces cerevisiae; Yarrowia lipolytica	coq5 system; annotated Yl locus	separated	Barkovich assay; Q6CBJ6	comparative_step_function	provisional_for_yarrowia	medium	partially_supported	Comparative Coq5 biochemistry nominates R18 C-methylation; native Yarrowia function is unverified.
CLM-GR-005	gpr	YALI1A08781g - COQ6 candidate - is the direct-catalyst candidate for two nonconsecutive hydroxylations represented by R39 and R19.	SRC-QC-006;SRC-GR-010;SRC-DB-002	support	comparative mutant/bypass and in-vitro biochemistry plus Yarrowia family annotation	Saccharomyces cerevisiae; reconstructed tetrapod proteins; Yarrowia lipolytica	separated	separated	Ozeir Results; Nicoll COQ6 Results/Fig.4; F2Z6J4	comparative_step_function	provisional_for_yarrowia	medium	partially_supported	Comparative Coq6 studies nominate R39/R19 direct catalysis; native Yarrowia function, R39 compartment, and complete partner requirements remain unverified.
CLM-GR-006	gpr	YALI1E18269g - COQ7 candidate - is the step-specific candidate for R695 DMQ hydroxylation.	SRC-GR-003;SRC-DB-002	support	comparative rescue plus Yarrowia family annotation	Saccharomyces cerevisiae; Yarrowia lipolytica	coq7 mutants; annotated Yl locus	separated	Tran Abstract/Fig.5; Q6C5T9	comparative_step_function	provisional_for_yarrowia	medium	partially_supported	Comparative Coq7 rescue supports R695 direct catalysis; native Yarrowia function and obligatory COQ9 partnering remain unverified.
CLM-GR-007	gpr	YALI1F34625g - COQ4 candidate - is a plausible step-specific candidate for currently GPR-less R40 decarboxylation.	SRC-GR-004;SRC-GR-010;SRC-DB-002	support	comparative and in-vitro decarboxylase biochemistry plus reviewed Yarrowia family entry	Saccharomyces/heterologous systems; Yarrowia lipolytica	separated	separated	Pelosi Figs.2D,3,4; Nicoll COQ4 Results; Q6C074	comparative_step_function	provisional_for_yarrowia	medium_high	partially_supported	Comparative COQ4 oxidative-decarboxylase studies nominate GPR-less R40; no native Yarrowia locus experiment exists.
CLM-GR-008	gpr	COQ8 is a regulatory ADCK-family ATPase/kinase rather than a generic ring-modifying enzyme for all five modeled reactions.	SRC-GR-005;SRC-GR-009;SRC-GR-010	support	acute inhibition; bypass; in-vitro enhancement	Saccharomyces cerevisiae; vertebrate proteins	multiple	separated	Reidenbach Results; Xie Figs.5-7; Nicoll Fig.6	comparative_accessory_function	qualified_supported	strong_in_conserved_systems	supported	Conserved-system ATPase, inhibition, bypass, and in-vitro evidence supports a regulatory/accessory rather than generic atom-transfer role; the Yarrowia locus remains provisional.
CLM-GR-009	gpr	COQ9 is a synthome-associated accessory that affects Coq6/Coq7 function rather than a generic atom-transfer catalyst for all five reactions.	SRC-GR-006;SRC-GR-007;SRC-GR-010	support	complex association; isotope tracing; in-vitro omission	Saccharomyces cerevisiae; reconstructed tetrapod proteins	multiple	separated	Hsieh Figs.4-5; He Abstract/Results; Nicoll Fig.6	comparative_accessory_function	qualified_supported	strong_in_conserved_systems	supported	Comparative complex, isotope, and omission evidence supports a synthome-associated accessory affecting Coq6/Coq7; native Yarrowia necessity remains unverified.
CLM-GR-010	gpr	Coq proteins can assemble into a dynamic, substrate-dependent synthome/metabolon.	SRC-GR-006;SRC-GR-008;SRC-QC-008;SRC-GR-010	support	co-IP; imaging; in-vitro co-elution	Saccharomyces cerevisiae; vertebrate proteins	multiple	condition-dependent	Allan Fig.3; Subramanian Figs.1,3-5; Nicoll Fig.6	comparative_complex_mechanism	qualified_supported	strong	supported	Multiple comparative systems support dynamic substrate-dependent assembly; native Yarrowia composition and stoichiometry are unverified.
CLM-GR-011	gpr	All seven COQ4/8/6/9/5/3/7 proteins form the same obligatory reaction-specific catalytic AND for each of R715, R19, R18, R695, and R385.	SRC-GR-008;SRC-GR-009;SRC-QC-007;SRC-QC-008;SRC-GR-010	challenge	variable complex subsets; diagnostic intermediates; chemical bypass; omission experiments	Saccharomyces cerevisiae; reconstructed tetrapod proteins	multiple	condition-dependent	Allan Fig.3/13; Xie Figs.5-7; He Figs.4-5/8-11; Subramanian Figs.3-5; Nicoll Fig.6	comparative_counterevidence	direct_catalyst_interpretation_contradicted_flux_dependency_unverified	strong_for_direct_catalyst_boundary	contradicted	The identical seven-protein rule is contradicted as a direct catalytic-identity claim; native Yarrowia accessory or reaction-flux necessity is not resolved.
CLM-GR-012	gpr	The repeated seven-locus AND is inherited through iYali4 to iYali5 to iYli21 to iYali26 and therefore is not four independent validations.	SRC-LOCAL-002;SRC-PR-001;SRC-PR-002	support	model provenance plus local XML comparison	Yarrowia GEM lineage	iYali4; iYali5; iYli21; iYali26	model versions	local_model_provenance.md and model Methods	provenance_direct	qualified_supported	strong	supported	Direct comparison of four local model generations shows one inherited assertion lineage, not four independent validations.
CLM-GR-013	gpr	The inactive embedded UniProt accessions map as A0A1H6PM88->Q6C2S2, A0A1D8N7Z5->Q6CEH1, Q6H9P2->F2Z6J4, A0A1D8NQ60->Q6C071, A0A1D8NBN0->Q6CBJ6, A0A1D8N802->Q6CEG2, and A0A1H6Q2E8->Q6C5T9.	SRC-DB-002	support	database maintenance state	Yarrowia lipolytica	reference proteome	retrieved 2026-08-06	individual UniProt REST records	database_provenance	qualified_supported	high	supported	UniProt JSON directly verifies these inactive-to-live mappings; accession maintenance does not prove identity error.
