reaction_id,reaction_name,reaction_type,gene_reaction_rule,n_genes,n_metabolites,compartments,has_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,gene_ec_codes,met_bigg_id,is_blocked
R15,2-aminoadipate transaminase,metabolic,YALI1E10210g or YALI1E24922g or YALI1E34072g,3,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R16,2-dehydropantoate 2-reductase,metabolic,YALI1F27761g,1,5,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr",True,True,True,True,False,False,,,False
R17,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,metabolic,YALI1B26153g or YALI1C09308g,2,5,C_mi,False,,False,False,False,False,False,False,,,True
R18,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",metabolic,YALI1F34625g and YALI1B20527g and YALI1A08781g and YALI1F34675g and YALI1C25352g and YALI1B20835g and YALI1E18269g,7,5,C_mi,False,,False,False,False,False,False,False,,,True
R19,2-hexaprenyl-6-methoxyphenol monooxygenase,metabolic,YALI1F34625g and YALI1B20527g and YALI1A08781g and YALI1F34675g and YALI1C25352g and YALI1B20835g and YALI1E18269g,7,4,C_mi,False,,False,False,False,False,False,False,,,True
R20,2-isopropylmalate hydratase,metabolic,YALI1B02345g,1,3,C_cy,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,,,False
R21,2-isopropylmalate synthase,metabolic,YALI1B09592g,1,6,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R22,2-isopropylmalate synthase,metabolic,YALI1B09592g,1,6,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R23,2-keto-4-methylthiobutyrate transamination,metabolic,,0,4,C_cy,True,"bigg.reaction,biggr,metanetx.reaction,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,False,False,False,,,False
R24,2-methylcitrate dehydratase,metabolic,YALI1E03387g,1,3,C_mi,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea",True,False,True,True,False,False,,,False
R25,2-methylcitrate synthase,metabolic,YALI1E01019g or YALI1E03300g,2,6,C_mi,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea",True,False,True,True,False,False,,,False
R26,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,metabolic,YALI1D01431g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R27,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,metabolic,YALI1D01431g,1,4,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R28,"3',5'-bisphosphate nucleotidase",metabolic,YALI1F35109g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R29,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,YALI1E38561g or YALI1A07575g,2,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R30,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,YALI1A07575g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R31,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,YALI1A07575g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R32,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,YALI1A07575g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R33,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,YALI1A07575g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R34,"3,4-dihydroxy-2-butanone-4-phosphate synthase",metabolic,YALI1B12042g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metanetx.reaction,sabiork.reaction,sabiorkr,vmhr,vmhreaction",True,True,True,False,False,False,,,True
R35,3-dehydroquinate dehydratase,metabolic,YALI1F16984g,1,3,C_cy,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,False
R36,3-dehydroquinate synthase,metabolic,YALI1F16984g,1,3,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R37,3-dehydrosphinganine reductase,metabolic,YALI1B22883g,1,5,C_er,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R38,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,metabolic,YALI1B26153g or YALI1B29243g or YALI1C09308g,3,5,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R39,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",metabolic,,0,3,C_cy,False,,False,False,False,False,False,False,,,True
R40,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,metabolic,,0,4,C_mi,False,,False,False,False,False,False,False,,,True
R41,3-hydroxy-L-kynurenine hydrolase,metabolic,YALI1B29867g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R42,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),metabolic,YALI1E18441g,1,5,C_pe,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R43,"3-hydroxyanthranilate 3,4-dioxygenase",metabolic,YALI1B04309g,1,4,C_cy,False,,False,False,False,False,False,False,,,False
R44,3-isopropylmalate dehydratase,metabolic,YALI1B02345g,1,3,C_cy,True,"kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr",False,True,True,True,False,False,,,False
R45,3-isopropylmalate dehydrogenase,metabolic,YALI1C00464g,1,5,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R46,3-methyl-2-oxobutanoate hydroxymethyltransferase,metabolic,YALI1B24638g,1,5,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R47,3-phosphoshikimate 1-carboxyvinyltransferase,metabolic,YALI1F16984g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R48,4-amino-4-deoxychorismate synthase,metabolic,YALI1A05459g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R49,4-aminobenzoate synthase,metabolic,YALI1D20061g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R50,4-aminobutyrate transaminase,metabolic,YALI1E21915g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R51,4-hydroxy-L-threonine synthase,metabolic,YALI1F30459g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R52,4-hydroxybenzoate formation,metabolic,,0,5,C_mi,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,True
R53,4PP-IP5 depyrophosphorylation to IP6,metabolic,YALI1B17927g or YALI1A04817g,2,5,C_cy,False,,False,False,False,False,False,False,,,False
R54,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",metabolic,YALI1F18897g,1,6,C_cy,False,,False,False,False,False,False,False,,,False
R55,5'-methylthioadenosine phosphorylase,metabolic,YALI1B17871g,1,4,C_cy,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,False
R56,5'-nucleotidase (CMP),metabolic,YALI1F34187g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R57,5'-nucleotidase (IMP),metabolic,YALI1E14709g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R58,5'-nucleotidase (UMP),metabolic,YALI1F34187g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R59,5'-phosphoribosylformyl glycinamidine synthetase,metabolic,YALI1F37559g,1,9,C_cy,False,,False,False,False,False,False,False,,,False
R60,"5,10-methylenetetrahydrofolate reductase (NADPH)",metabolic,YALI1B19021g or YALI1B00578g,2,5,C_cy,False,,False,False,False,False,False,False,,,False
R61,5-aminolevulinate synthase,metabolic,YALI1C07816g,1,6,C_mi,False,,False,False,False,False,False,False,,,True
R62,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",metabolic,YALI1A04817g,1,5,C_cy,False,,False,False,False,False,False,False,,,False
R63,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",metabolic,YALI1F18897g,1,5,C_cy,False,,False,False,False,False,False,False,,,False
R64,5-formethyltetrahydrofolate cyclo-ligase,metabolic,YALI1D01489g,1,5,C_cy,False,,False,False,False,False,False,False,,,True
R65,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,metabolic,YALI1E15659g,1,4,C_cy,False,,False,False,False,False,False,False,,,True
R66,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,metabolic,YALI1C28497g,1,3,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R67,5-methylthioribose-1-phosphate isomerase,metabolic,YALI1A16642g,1,2,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R68,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",metabolic,YALI1B17927g,1,5,C_cy,False,,False,False,False,False,False,False,,,False
R69,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",metabolic,YALI1B17927g,1,5,C_cy,False,,False,False,False,False,False,False,,,False
R70,6-phosphofructo-2-kinase,metabolic,YALI1F35542g or YALI1D26610g,2,5,C_cy,False,,False,False,False,False,False,False,,,False
R71,6-phosphogluconolactonase,metabolic,YALI1C26276g or YALI1E14505g,2,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R72,6PP-IP5 depyrophosphorylation to IP6,metabolic,YALI1B17927g or YALI1A04817g,2,5,C_cy,False,,False,False,False,False,False,False,,,False
R73,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",metabolic,YALI1F18897g,1,6,C_cy,False,,False,False,False,False,False,False,,,False
R74,8-amino-7-oxononanoate synthase,metabolic,YALI1E20766g,1,6,C_cy,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,,,True
R75,acetaldehyde condensation,metabolic,YALI1D12832g or YALI1D08884g,2,2,C_cy,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,True
R76,acetohydroxy acid isomeroreductase,metabolic,YALI1D03952g,1,5,C_mi,False,,False,False,False,False,False,False,,,False
R77,acetolactate synthase,metabolic,YALI1C00293g or (YALI1C13355g and YALI1C00293g),2,4,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R78,acetyl-CoA ACP transacylase,metabolic,(YALI1F38317g and YALI1A20089g and YALI1C26939g and YALI1D18037g) or (YALI1D32594g and YALI1F37498g and YALI1E22262g),7,4,C_mi,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,,,True
R79,acetyl-CoA C-acyltransferase (palmitoyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R80,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R81,acetyl-CoA C-acyltransferase (myristoyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R82,acetyl-CoA C-acetyltransferase,metabolic,YALI1B11532g,1,3,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R83,acetyl-CoA C-acetyltransferase,metabolic,YALI1E13899g,1,3,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R84,acetyl-CoA C-acyltransferase (lauroyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R85,acetyl-CoA C-acyltransferase (octanoyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R86,acetyl-CoA C-acyltransferase (decanoyl-CoA),metabolic,YALI1E22238g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R87,acetyl-Coa carboxylase,metabolic,YALI1C15991g,1,7,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R88,acetyl-CoA carboxylase,metabolic,YALI1C15991g and YALI1E35955g,2,7,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R89,acetyl-CoA hydrolase,metabolic,YALI1E36437g,1,5,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R90,acetyl-CoA synthetase,metabolic,YALI1F08845g,1,6,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R91,acetyl-CoA synthetase,metabolic,YALI1F08845g,1,6,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
R92,acetyl-CoA synthetase nuclear,metabolic,YALI1F08845g,1,6,C_nu,False,,False,False,False,False,False,False,,,True
R93,acetylglutamate kinase,metabolic,YALI1B22853g,1,4,C_mi,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,False
R94,acid phosphatase (secreted),metabolic,YALI1C09285g or (YALI1A12688g and YALI1E32054g and YALI1E38701g and YALI1E41893g and YALI1F30289g and YALI1F33143g),7,4,C_ex,False,,False,False,False,False,False,False,,,True
R95,aconitase,metabolic,YALI1F03803g,1,2,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R96,acteylornithine transaminase,metabolic,YALI1D29419g,1,4,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R97,acyl-CoA oxidase (decanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R98,acyl-CoA oxidase (dodecanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R99,acyl-CoA oxidase (hexacosanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R100,acyl-CoA oxidase (hexadecanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R101,acyl-CoA oxidase (octadecanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R102,acyl-CoA oxidase (tetradecanoyl-CoA),metabolic,YALI1D32754g,1,4,C_pe,False,,False,False,False,False,False,False,,,False
R103,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R104,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R105,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R106,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R107,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R108,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R109,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R110,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R111,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R112,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",metabolic,YALI1F09747g,1,4,C_em,False,,False,False,False,False,False,False,,,False
R113,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3",metabolic,YALI1C32810g,1,4,C_er,False,,False,False,False,False,False,False,,,True
R114,adenine phosphoribosyltransferase,metabolic,YALI1D07451g,1,4,C_cy,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,False
R115,adenosine kinase,metabolic,YALI1F30754g,1,5,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R116,adenosine monophosphate deaminase,metabolic,YALI1E14316g,1,5,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R117,adenosylhomocysteinase,metabolic,YALI1F15517g,1,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R118,adenosylmethionine decarboxylase,metabolic,YALI1D09712g or YALI1E24149g,2,4,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R119,adenosylmethionine-8-amino-7-oxononanoate transaminase,metabolic,YALI1E25585g or YALI1A08546g or YALI1C07360g,3,4,C_cy,True,"bigg.reaction,biggr,metanetx.reaction,vmhr,vmhreaction",True,False,True,False,False,False,,,True
R120,adenylate cyclase,metabolic,YALI1B24424g,1,3,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R121,adenylate kinase,metabolic,YALI1B01136g,1,3,C_cy,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,,,False
